month,candidates,P_low,P_high,new_count,res_total,com_total
0,0,0.0,0.0,0,0,0
1,244,0.0,0.4252835843847286,20,0,20
2,116,0.0,0.0,20,0,40
3,1,0.0,0.0,1,0,41
4,0,0.0,0.0,0,0,41
5,0,0.0,0.0,0,0,41
6,0,0.0,0.0,0,1,40
7,0,0.0,0.0,0,1,40
8,0,0.0,0.0,0,1,40
9,0,0.0,0.0,0,0,41
10,0,0.0,0.0,0,0,41
11,0,0.0,0.0,0,0,41
12,0,0.0,0.0,0,0,41
13,0,0.0,0.0,0,0,41
14,0,0.0,0.0,0,0,41
15,0,0.0,0.0,0,0,41
16,0,0.0,0.0,0,0,41
17,0,0.0,0.0,0,0,41
18,0,0.0,0.0,0,0,41
19,0,0.0,0.0,0,0,41
20,0,0.0,0.0,0,0,41
21,0,0.0,0.0,0,0,41
22,0,0.0,0.0,0,0,41
23,0,0.0,0.0,0,0,41
24,0,0.0,0.0,0,0,41
25,0,0.0,0.0,0,0,41
26,0,0.0,0.0,0,0,41
27,0,0.0,0.0,0,0,41
28,0,0.0,0.0,0,0,41
29,0,0.0,0.0,0,0,41
30,0,0.0,0.0,0,0,41
31,0,0.0,0.0,0,0,41
32,0,0.0,0.0,0,0,41
33,0,0.0,0.0,0,0,41
34,0,0.0,0.0,0,0,41
35,0,0.0,0.0,0,0,41
36,0,0.0,0.0,0,0,41
37,0,0.0,0.0,0,0,41
38,0,0.0,0.0,0,0,41
39,0,0.0,0.0,0,0,41
40,0,0.0,0.0,0,0,41
41,0,0.0,0.0,0,0,41
42,0,0.0,0.0,0,0,41
43,0,0.0,0.0,0,0,41
44,0,0.0,0.0,0,0,41
45,0,0.0,0.0,0,0,41
46,0,0.0,0.0,0,0,41
47,0,0.0,0.0,0,0,41
0,5,0.6965087354348776,0.9131753857093524,5,3,2
1,120,0.0,0.6088238311669553,20,3,22
2,214,0.0,0.3250165641943471,20,3,42
3,149,0.0,0.0663033108037224,20,3,62
4,32,0.0,0.056909450701781945,18,10,73
5,1,0.0,0.0,1,8,76
6,277,0.0,0.18327415808134642,20,8,96
7,257,0.06519871411584736,0.3062938192576029,20,8,116
8,237,0.06968703212915085,0.3169340827319412,20,9,135
9,217,0.07019694461500087,0.30731685312946255,20,9,155
10,197,0.07848665661579947,0.29663722202258075,20,9,175
11,177,0.0838012731689611,0.2898388234757365,20,9,195
12,157,0.0790723640214992,0.2678244594674119,20,9,215
13,137,0.07558322366864684,0.22509421605462895,20,9,235
14,117,0.07019738980298357,0.18881966053271226,20,9,255
15,97,0.06692592191437462,0.14230483216288065,20,9,275
16,77,0.05986932229750305,0.1275639936810694,20,9,295
17,57,0.04919795859057121,0.0906192796928155,17,9,312
18,40,0.050144089172161226,0.0795994057830675,12,9,324
19,28,0.04763880634326091,0.06393626632737803,11,10,334
20,17,0.04442048337705293,0.0590104830180098,10,15,339
21,7,0.05419859932472997,0.0612203737563939,4,17,341
22,3,0.06204065368379136,0.06476136067071592,3,18,343
23,0,0.0,0.0,0,3,358
24,0,0.0,0.0,0,1,360
25,0,0.0,0.0,0,0,361
26,0,0.0,0.0,0,2,357
27,0,0.0,0.0,0,2,357
28,0,0.0,0.0,0,2,357
29,0,0.0,0.0,0,0,359
30,0,0.0,0.0,0,0,359
31,0,0.0,0.0,0,0,359
32,0,0.0,0.0,0,0,359
33,0,0.0,0.0,0,0,359
34,0,0.0,0.0,0,0,359
35,0,0.0,0.0,0,0,359
36,0,0.0,0.0,0,0,359
37,0,0.0,0.0,0,0,359
38,0,0.0,0.0,0,0,359
39,0,0.0,0.0,0,0,359
40,0,0.0,0.0,0,0,359
41,0,0.0,0.0,0,0,359
42,0,0.0,0.0,0,0,359
43,0,0.0,0.0,0,0,359
44,0,0.0,0.0,0,0,359
45,0,0.0,0.0,0,0,359
46,0,0.0,0.0,0,0,359
47,0,0.0,0.0,0,0,359
0,5,0.6965087354348776,0.9131753857093524,5,3,2
1,120,0.0,0.6088238311669553,20,13,12
2,216,0.0,0.3310530906489281,20,23,22
3,139,0.0,0.0948606741418717,20,33,32
4,24,0.0,0.08348341920602008,17,42,40
5,1,0.0,0.0,1,40,43
6,278,0.0,0.3159118089018194,20,50,53
7,258,0.121915022071246,0.4031299838593191,20,59,64
8,238,0.16632286741280877,0.4360401119716864,20,73,70
9,218,0.2012649660871199,0.4564354671976262,20,83,80
10,198,0.24117929758713014,0.4791448745361082,20,91,92
11,178,0.2882740396871403,0.5111293741673211,20,101,102
12,158,0.32228163502900703,0.5251071457501094,20,110,113
