month,building_id,type,location_x,location_y,LP,heat,capacity,occupancy,revenue,opex,profit,cum_profit,payback_hit
14,res_6,commercial,65,97,0.9841535628657792,0.5,10.0,10.0,48.0,50.0,-2.0,-2.0,False
14,res_7,commercial,63,96,0.9766453758215128,0.5,10.0,10.0,48.0,50.0,-2.0,-2.0,False
14,res_8,commercial,64,96,0.9841535628657792,0.5,10.0,10.0,48.0,50.0,-2.0,-2.0,False
14,res_9,commercial,69,97,0.9841535628657792,0.5,10.0,10.0,48.0,50.0,-2.0,-2.0,False
14,res_10,commercial,70,97,0.9787847054517064,0.5,10.0,10.0,48.0,50.0,-2.0,-2.0,False
14,res_11,commercial,63,95,0.9798561276976216,0.5,10.0,10.0,48.0,50.0,-2.0,-2.0,False
14,res_12,commercial,70,96,0.9841535628657792,0.5,10.0,10.0,48.0,50.0,-2.0,-2.0,False
14,res_13,commercial,63,94,0.9809287232757629,0.5,10.0,10.0,48.0,50.0,-2.0,-2.0,False
14,res_14,commercial,63,93,0.9798561276976216,0.5,10.0,10.0,48.0,50.0,-2.0,-2.0,False
14,res_15,commercial,63,92,0.9766453758215128,0.5,10.0,10.0,48.0,50.0,-2.0,-2.0,False
14,res_16,commercial,71,96,0.9766552957154409,0.5,10.0,10.0,48.0,50.0,-2.0,-2.0,False
14,res_17,commercial,64,91,0.9787947375620709,0.5,10.0,10.0,48.0,50.0,-2.0,-2.0,False
14,res_18,commercial,71,95,0.9798662063607562,0.5,10.0,10.0,48.0,50.0,-2.0,-2.0,False
14,res_19,commercial,64,92,0.9841637419590359,0.5,10.0,10.0,48.0,50.0,-2.0,-2.0,False
14,res_20,commercial,71,94,0.980938943639565,0.5,10.0,10.0,48.0,50.0,-2.0,-2.0,False
14,res_21,commercial,65,91,0.9841638338575583,0.5,10.0,10.0,48.0,50.0,-2.0,-2.0,False
14,res_22,industrial,87,49,0.9502951654619862,0.5,1200.0,1200.0,9600.0,4800.0,4800.0,4800.0,False
14,res_23,industrial,93,49,0.9502951654619862,0.5,1200.0,1200.0,9600.0,4800.0,4800.0,4800.0,False
14,com_1,commercial,67,94,0.9982615601698299,0.5,10.0,10.0,48.0,50.0,-2.0,-2.0,False
14,com_2,commercial,69,91,0.9841650324970806,0.5,10.0,10.0,48.0,50.0,-2.0,-2.0,False
14,com_3,commercial,70,91,0.9787966085905884,0.5,10.0,10.0,48.0,50.0,-2.0,-2.0,False
14,com_4,commercial,68,90,0.9798676764219566,0.5,10.0,10.0,48.0,50.0,-2.0,-2.0,False
14,com_5,commercial,70,92,0.9841643523212579,0.5,10.0,10.0,48.0,50.0,-2.0,-2.0,False
14,com_6,commercial,67,90,0.9809393928470458,0.5,10.0,10.0,48.0,50.0,-2.0,-2.0,False
14,com_7,commercial,71,92,0.976655954200786,0.5,10.0,10.0,48.0,50.0,-2.0,-2.0,False
14,com_8,commercial,66,90,0.9798664818078229,0.5,10.0,10.0,48.0,50.0,-2.0,-2.0,False
14,com_9,commercial,71,93,0.9798664719061305,0.5,10.0,10.0,48.0,50.0,-2.0,-2.0,False
14,com_10,industrial,87,61,0.9503132106919707,0.5,1200.0,1200.0,9600.0,4800.0,4800.0,4800.0,False
14,com_11,industrial,93,61,0.9503046594205397,0.5,1200.0,1200.0,9600.0,4800.0,4800.0,4800.0,False
14,com_12,commercial,71,87,0.9297589058968365,0.5,10.0,10.0,48.0,50.0,-2.0,-2.0,False
14,com_13,commercial,66,86,0.9297378369362894,0.5,10.0,10.0,48.0,50.0,-2.0,-2.0,False
14,com_14,commercial,65,86,0.9266910214633585,0.5,10.0,10.0,48.0,50.0,-2.0,-2.0,False
14,com_15,commercial,72,88,0.9338295223035129,0.5,10.0,10.0,48.0,50.0,-2.0,-2.0,False
14,com_16,commercial,73,89,0.9338229438238886,0.5,10.0,10.0,48.0,50.0,-2.0,-2.0,False
14,com_17,commercial,63,87,0.9297369182786939,0.5,10.0,10.0,48.0,50.0,-2.0,-2.0,False
14,com_18,commercial,74,91,0.9368854536472939,0.5,10.0,10.0,48.0,50.0,-2.0,-2.0,False
14,res_3,commercial,67,98,0.9809287232757629,0.5,10.0,10.0,48.0,50.0,-2.0,-2.0,False
14,res_2,commercial,66,98,0.9798561276976216,0.5,10.0,10.0,48.0,50.0,-2.0,-2.0,False
14,res_4,commercial,68,98,0.9798561276976216,0.5,10.0,10.0,48.0,50.0,-2.0,-2.0,False
14,com_36,commercial,77,87,0.8481411207231994,0.5,10.0,10.0,48.0,50.0,-2.0,-2.0,False
14,com_37,commercial,61,84,0.8602527098159239,0.5,10.0,10.0,48.0,50.0,-2.0,-2.0,False
14,com_38,commercial,78,89,0.8508975132898691,0.5,10.0,10.0,48.0,50.0,-2.0,-2.0,False
14,com_39,commercial,59,85,0.851823744106534,0.5,10.0,10.0,48.0,50.0,-2.0,-2.0,False
14,com_40,commercial,57,87,0.8481040082640573,0.5,10.0,10.0,48.0,50.0,-2.0,-2.0,False
14,com_41,commercial,79,92,0.8490338907862318,0.5,10.0,10.0,48.0,50.0,-2.0,-2.0,False
14,com_42,commercial,79,94,0.852756752326927,0.5,10.0,10.0,48.0,50.0,-2.0,-2.0,False
14,res_5,commercial,64,97,0.9787847054517064,0.5,10.0,10.0,48.0,50.0,-2.0,-2.0,False
14,res_42,commercial,74,97,0.9368840038167062,0.5,10.0,10.0,48.0,50.0,-2.0,-2.0,False
14,res_35,commercial,60,97,0.9368753625140658,0.5,10.0,10.0,48.0,50.0,-2.0,-2.0,False
14,res_40,commercial,60,91,0.9368753625140658,0.5,10.0,10.0,48.0,50.0,-2.0,-2.0,False
14,res_46,commercial,62,88,0.9338142441768683,0.5,10.0,10.0,48.0,50.0,-2.0,-2.0,False
14,res_44,commercial,61,89,0.9338140731506768,0.5,10.0,10.0,48.0,50.0,-2.0,-2.0,False
14,res_31,commercial,62,100,0.9338055072419217,0.5,10.0,10.0,48.0,50.0,-2.0,-2.0,False
14,res_32,commercial,61,99,0.9338055072419217,0.5,10.0,10.0,48.0,50.0,-2.0,-2.0,False
14,res_34,commercial,72,100,0.9338055072419217,0.5,10.0,10.0,48.0,50.0,-2.0,-2.0,False
14,res_37,commercial,73,99,0.9338055072419217,0.5,10.0,10.0,48.0,50.0,-2.0,-2.0,False
14,res_43,commercial,75,94,0.930754669240661,0.5,10.0,10.0,48.0,50.0,-2.0,-2.0,False
14,res_38,commercial,59,94,0.9307457152490027,0.5,10.0,10.0,48.0,50.0,-2.0,-2.0,False
14,res_27,commercial,66,102,0.9297280151615774,0.5,10.0,10.0,48.0,50.0,-2.0,-2.0,False
14,res_28,commercial,63,101,0.9297280151615774,0.5,10.0,10.0,48.0,50.0,-2.0,-2.0,False
14,res_29,commercial,68,102,0.9297280151615774,0.5,10.0,10.0,48.0,50.0,-2.0,-2.0,False
