orig_index,orig_x,orig_y,new_x,new_y,dx,dy,dist
0,144.498689,72.206948,132.147423,65.695917,-12.351265,-6.511031,13.962352
1,142.574355,71.662027,132.213473,68.132978,-10.360882,-3.529050,10.945413
2,140.650021,71.117107,132.564469,68.785902,-8.085551,-2.331205,8.414907
3,120.027266,63.198648,111.384426,59.440551,-8.642840,-3.758097,9.424541
4,118.102932,62.653727,108.207780,58.499432,-9.895152,-4.154295,10.731831
5,68.138695,77.606154,64.661602,82.495721,-3.477093,4.889567,5.999837
6,66.214361,77.061233,63.776429,82.468758,-2.437933,5.407525,5.931681
7,64.290027,76.516313,63.452475,81.690067,-0.837552,5.173754,5.241109
8,62.365693,75.971393,63.820554,80.857363,1.454861,4.885970,5.097973
9,60.441359,75.426472,64.763686,81.248300,4.322327,5.821827,7.250944
10,58.517025,74.881552,63.793451,81.146681,5.276426,6.265130,8.191003
11,56.592691,74.336631,58.191659,79.477017,1.598968,5.140386,5.383332
12,54.668357,73.791711,55.013751,77.710782,0.345394,3.919072,3.934262
13,52.744023,73.246790,50.640791,74.106956,-2.103232,0.860165,2.272327
14,50.819689,72.701870,50.886518,74.197375,0.066829,1.495506,1.496998
15,69.518109,80.075408,64.293884,82.238734,-5.224225,2.163325,5.654423
16,67.593775,79.530488,64.649174,82.745616,-2.944601,3.215128,4.359785
17,65.669441,78.985568,64.166492,82.823486,-1.502948,3.837919,4.121708
18,63.745107,78.440647,64.375315,82.642836,0.630208,4.202189,4.249183
19,61.820773,77.895727,64.079314,82.508776,2.258541,4.613050,5.136267
20,59.896439,77.350806,64.404683,82.260441,4.508245,4.909635,6.665492
21,57.972104,76.805886,64.064048,82.191696,6.091944,5.385810,8.131343
22,56.047770,76.260965,63.889650,82.036677,7.841880,5.775712,9.739298
23,54.123436,75.716045,62.619725,81.090145,8.496289,5.374100,10.053252
24,52.199102,75.171124,56.509416,78.931148,4.310314,3.760024,5.719841
25,68.973189,81.999743,71.790278,83.359092,2.817090,1.359349,3.127911
26,67.048854,81.454822,64.202735,82.931269,-2.846120,1.476447,3.206290
27,65.124520,80.909902,64.444729,82.946324,-0.679791,2.036422,2.146889
28,63.200186,80.364981,64.442499,82.864578,1.242312,2.499597,2.791295
29,61.275852,79.820061,64.644158,82.747088,3.368306,2.927027,4.462395
30,59.351518,79.275140,64.156500,82.714051,4.804982,3.438911,5.908804
31,57.427184,78.730220,64.069552,82.437664,6.642368,3.707445,7.606984
32,55.502850,78.185299,62.027020,81.494297,6.524170,3.308998,7.315345
33,53.578516,77.640379,58.685653,80.292331,5.107137,2.651952,5.754624
34,68.428268,83.924077,74.226272,83.479833,5.798004,-0.444243,5.814998
35,66.503934,83.379156,71.939914,83.384589,5.435980,0.005433,5.435983
36,64.579600,82.834236,64.641990,82.963845,0.062390,0.129609,0.143844
37,62.655266,82.289315,64.440933,82.974432,1.785667,0.685117,1.912588
38,60.730932,81.744395,64.426755,82.827470,3.695823,1.083075,3.851254
39,58.806598,81.199474,64.650738,82.365461,5.844140,1.165987,5.959320
40,91.230704,84.145200,96.913010,83.379883,5.682305,-0.765316,5.733612
41,89.306370,83.600279,95.929432,83.223018,6.623061,-0.377261,6.633797
42,87.382036,83.055359,95.523572,82.999679,8.141535,-0.055680,8.141726
43,85.457702,82.510438,96.147120,82.488706,10.689418,-0.021732,10.689440
44,83.533368,81.965518,96.579037,81.913448,13.045669,-0.052070,13.045773
45,81.609034,81.420597,87.893242,83.082725,6.284208,1.662128,6.500303
46,79.684700,80.875677,83.893225,83.458178,4.208525,2.582501,4.937712
47,77.760366,80.330756,80.952240,84.222923,3.191874,3.892166,5.033589
48,75.836032,79.785836,72.094036,82.927048,-3.741996,3.141213,4.885668
49,73.911698,79.240915,69.144968,82.672429,-4.766729,3.431514,5.873414
50,71.987364,78.695995,66.598919,80.687221,-5.388445,1.991226,5.744590
51,70.063029,78.151074,64.072221,82.457534,-5.990808,4.306460,7.378034
52,84.912782,84.434772,90.347458,83.264859,5.434677,-1.169914,5.559173
53,82.988448,83.889852,89.366306,83.182907,6.377859,-0.706945,6.416919
54,81.064114,83.344931,81.659018,84.641106,0.594904,1.296174,1.426176
55,79.139779,82.800011,81.341006,84.765523,2.201226,1.965512,2.951040
56,77.215445,82.255090,81.353337,84.225615,4.137892,1.970524,4.583134
57,75.291111,81.710170,81.020590,84.266087,5.729479,2.555917,6.273727
58,73.366777,81.165249,77.793003,82.796551,4.426226,1.631302,4.717269
59,71.442443,80.620329,70.302366,83.236386,-1.140077,2.616057,2.853687
