orig_index,orig_x,orig_y,new_x,new_y,dx,dy,dist
0,144.498689,72.206948,141.202477,75.865008,-3.296212,3.658060,4.924065
1,142.574355,71.662027,138.084591,75.438855,-4.489764,3.776828,5.867061
2,140.650021,71.117107,136.563915,73.981180,-4.086106,2.864073,4.989907
3,120.027266,63.198648,120.804365,66.729959,0.777099,3.531311,3.615805
4,118.102932,62.653727,119.164524,66.470414,1.061592,3.816686,3.961575
5,68.138695,77.606154,71.863888,75.812239,3.725193,-1.793915,4.134633
6,66.214361,77.061233,70.712776,74.940327,4.498415,-2.120906,4.973326
7,64.290027,76.516313,69.306205,73.186096,5.016178,-3.330217,6.020995
8,62.365693,75.971393,64.384165,71.895120,2.018472,-4.076272,4.548651
9,60.441359,75.426472,62.773701,72.645077,2.332342,-2.781395,3.629873
10,58.517025,74.881552,58.754021,72.845096,0.236996,-2.036456,2.050200
11,56.592691,74.336631,56.087055,74.011446,-0.505636,-0.325185,0.601177
12,54.668357,73.791711,54.538710,74.719915,-0.129646,0.928204,0.937215
13,52.744023,73.246790,51.054195,73.176686,-1.689828,-0.070104,1.691281
14,50.819689,72.701870,49.965923,73.725244,-0.853765,1.023374,1.332745
15,69.518109,80.075408,71.986622,77.774632,2.468513,-2.300777,3.374482
16,67.593775,79.530488,70.603865,78.465291,3.010090,-1.065197,3.193006
17,65.669441,78.985568,69.869874,77.145988,4.200433,-1.839580,4.585596
18,63.745107,78.440647,69.014147,75.597019,5.269040,-2.843628,5.987404
19,61.820773,77.895727,65.844707,73.318993,4.023934,-4.576734,6.094140
20,59.896439,77.350806,61.113138,73.588905,1.216699,-3.761902,3.953765
21,57.972104,76.805886,58.127018,74.799006,0.154913,-2.006880,2.012850
22,56.047770,76.260965,56.065139,75.602477,0.017368,-0.658488,0.658717
23,54.123436,75.716045,53.179328,75.365482,-0.944108,-0.350563,1.007092
24,52.199102,75.171124,51.559542,76.165697,-0.639560,0.994572,1.182460
25,68.973189,81.999743,71.483952,81.276795,2.510763,-0.722948,2.612774
26,67.048854,81.454822,69.468598,79.069669,2.419744,-2.385153,3.397663
27,65.124520,80.909902,68.322242,79.716480,3.197721,-1.193422,3.413163
28,63.200186,80.364981,66.983048,79.829134,3.782862,-0.535847,3.820625
29,61.275852,79.820061,67.423822,77.420052,6.147970,-2.400009,6.599816
30,59.351518,79.275140,59.937524,74.999040,0.586006,-4.276100,4.316067
31,57.427184,78.730220,58.011173,76.769205,0.583989,-1.961015,2.046124
32,55.502850,78.185299,55.266067,77.265692,-0.236783,-0.919607,0.949602
33,53.578516,77.640379,53.043679,77.658845,-0.534837,0.018466,0.535155
34,68.428268,83.924077,69.246278,82.533838,0.818010,-1.390239,1.613042
35,66.503934,83.379156,66.910361,84.018588,0.406427,0.639431,0.757665
36,64.579600,82.834236,65.929256,81.189133,1.349656,-1.645103,2.127894
37,62.655266,82.289315,63.904860,82.577125,1.249594,0.287809,1.282310
38,60.730932,81.744395,64.623200,79.876551,3.892268,-1.867844,4.317244
39,58.806598,81.199474,62.670866,74.963006,3.864269,-6.236468,7.336628
40,91.230704,84.145200,92.266783,79.452306,1.036078,-4.692894,4.805904
41,89.306370,83.600279,86.629896,79.842012,-2.676474,-3.758267,4.613901
42,87.382036,83.055359,85.089054,81.963415,-2.292982,-1.091944,2.539706
43,85.457702,82.510438,83.408913,81.338928,-2.048789,-1.171510,2.360079
44,83.533368,81.965518,81.659747,81.387940,-1.873621,-0.577577,1.960625
45,81.609034,81.420597,81.042134,80.377448,-0.566900,-1.043149,1.187239
46,79.684700,80.875677,80.304815,79.135174,0.620115,-1.740503,1.847673
47,77.760366,80.330756,77.792230,80.583277,0.031865,0.252520,0.254523
48,75.836032,79.785836,77.194366,79.545609,1.358335,-0.240226,1.379414
49,73.911698,79.240915,75.995682,79.180963,2.083985,-0.059952,2.084847
50,71.987364,78.695995,73.899771,76.909898,1.912407,-1.786097,2.616762
51,70.063029,78.151074,73.160595,77.229961,3.097565,-0.921113,3.231619
52,84.912782,84.434772,83.431513,84.153599,-1.481268,-0.281173,1.507718
53,82.988448,83.889852,82.458023,82.657643,-0.530425,-1.232208,1.341525
54,81.064114,83.344931,80.098336,84.350844,-0.965777,1.005913,1.394484
55,79.139779,82.800011,79.113829,82.784807,-0.025951,-0.015204,0.030077
56,77.215445,82.255090,78.387340,81.589136,1.171894,-0.665955,1.347899
57,75.291111,81.710170,76.180491,81.296350,0.889380,-0.413820,0.980940
58,73.366777,81.165249,74.992181,79.596972,1.625404,-1.568278,2.258635
59,71.442443,80.620329,74.081728,79.998738,2.639285,-0.621591,2.711494
60,69.518109,80.075408,71.986622,77.774632,2.468513,-2.300777,3.374482
61,76.670525,84.179424,77.260194,83.641216,0.589669,-0.538208,0.798359
62,74.746191,83.634504,75.356029,82.568204,0.609838,-1.066300,1.228372
63,72.821857,83.089584,73.479276,82.658274,0.657419,-0.431309,0.786274
64,70.897523,82.544663,73.107388,80.455080,2.209865,-2.089583,3.041359
65,68.973189,81.999743,71.483952,81.276795,2.510763,-0.722948,2.612774
66,68.428268,83.924077,69.246278,82.533838,0.818010,-1.390239,1.613042
67,87.926957,81.131025,86.520889,77.970713,-1.406068,-3.160312,3.458988
68,86.002623,80.586104,84.571088,79.729085,-1.431535,-0.857019,1.668464
69,84.078289,80.041184,82.776570,79.907839,-1.301719,-0.133344,1.308530
70,62.910614,74.047058,66.175328,71.035916,3.264715,-3.011143,4.441322
71,60.986280,73.502138,62.981101,71.098235,1.994821,-2.403903,3.123790
72,59.061945,72.957217,59.965875,72.333353,0.903929,-0.623864,1.098315
73,96.935257,56.659602,97.174811,58.183993,0.239554,1.524391,1.543099
74,95.010923,56.114681,96.221516,57.546128,1.210593,1.431446,1.874720
75,93.086589,55.569761,95.163440,58.072257,2.076851,2.502496,3.252045
76,145.588530,68.358280,142.240550,73.781667,-3.347980,5.423387,6.373547
77,143.664196,67.813359,138.575313,72.179798,-5.088882,4.366438,6.705409
78,141.739861,67.268439,135.645192,70.636611,-6.094670,3.368172,6.963446
79,150.271691,73.841709,148.554239,78.053659,-1.717452,4.211950,4.548644
80,148.347357,73.296789,145.693316,77.734490,-2.654041,4.437701,5.170795
81,146.423023,72.751868,143.145431,76.502540,-3.277592,3.750671,4.980978
82,148.892277,71.372455,146.526459,76.274684,-2.365819,4.902229,5.443248
83,146.967943,70.827534,144.219488,75.308870,-2.748455,4.481335,5.257031
84,145.043609,70.282614,140.393110,74.449908,-4.650499,4.167294,6.244476
