orig_index,orig_x,orig_y,new_x,new_y,dx,dy,dist
0,144.498689,72.206948,140.905287,76.630547,-3.593402,4.423599,5.699190
1,142.574355,71.662027,137.721721,76.237529,-4.852634,4.575502,6.669578
2,140.650021,71.117107,136.424076,74.932366,-4.225945,3.815259,5.693400
3,120.027266,63.198648,120.910001,67.635004,0.882735,4.436356,4.523326
4,118.102932,62.653727,118.507369,66.863469,0.404437,4.209742,4.229125
5,68.138695,77.606154,72.184559,75.672316,4.045863,-1.933838,4.484277
6,66.214361,77.061233,70.861231,76.139680,4.646870,-0.921553,4.737368
7,64.290027,76.516313,69.740317,72.295942,5.450290,-4.220371,6.893272
8,62.365693,75.971393,64.546912,71.477387,2.181219,-4.494005,4.995378
9,60.441359,75.426472,61.964036,72.147952,1.522677,-3.278520,3.614864
10,58.517025,74.881552,58.974409,73.197158,0.457384,-1.684393,1.745388
11,56.592691,74.336631,56.155399,73.315810,-0.437292,-1.020821,1.110540
12,54.668357,73.791711,54.525280,74.180704,-0.143077,0.388994,0.414472
13,52.744023,73.246790,51.548185,73.634218,-1.195837,0.387427,1.257031
14,50.819689,72.701870,50.345775,74.234501,-0.473914,1.532632,1.604230
15,69.518109,80.075408,73.260011,77.877907,3.741902,-2.197502,4.339452
16,67.593775,79.530488,71.987542,78.476084,4.393767,-1.054404,4.518512
17,65.669441,78.985568,70.804250,78.199482,5.134809,-0.786085,5.194632
18,63.745107,78.440647,69.204766,77.503595,5.459659,-0.937052,5.539489
19,61.820773,77.895727,63.542432,72.886893,1.721660,-5.008833,5.296463
20,59.896439,77.350806,60.585945,73.195629,0.689506,-4.155177,4.211997
21,57.972104,76.805886,57.481830,74.250115,-0.490275,-2.555771,2.602371
22,56.047770,76.260965,55.798365,74.956146,-0.249406,-1.304819,1.328441
23,54.123436,75.716045,53.267041,75.137070,-0.856395,-0.578975,1.033743
24,52.199102,75.171124,51.348331,75.812200,-0.850772,0.641076,1.065266
25,68.973189,81.999743,71.903740,80.502973,2.930552,-1.496770,3.290662
26,67.048854,81.454822,69.993420,79.499767,2.944566,-1.955055,3.534503
27,65.124520,80.909902,68.754444,80.193921,3.629924,-0.715980,3.699861
28,63.200186,80.364981,67.453553,80.969680,4.253367,0.604699,4.296137
29,61.275852,79.820061,67.253973,78.745754,5.978121,-1.074307,6.073884
30,59.351518,79.275140,59.237602,75.073626,-0.113916,-4.201514,4.203059
31,57.427184,78.730220,57.352279,76.221624,-0.074905,-2.508596,2.509714
32,55.502850,78.185299,55.053304,76.601108,-0.449545,-1.584192,1.646740
33,53.578516,77.640379,53.001108,77.051065,-0.577408,-0.589314,0.825040
34,68.428268,83.924077,69.956662,82.122395,1.528394,-1.801682,2.362635
35,66.503934,83.379156,67.525314,83.544829,1.021380,0.165673,1.034729
36,64.579600,82.834236,66.039530,81.867525,1.459931,-0.966711,1.750979
37,62.655266,82.289315,64.189975,83.147448,1.534710,0.858133,1.758330
38,60.730932,81.744395,64.911002,80.566110,4.180071,-1.178285,4.342965
39,58.806598,81.199474,61.619068,74.624729,2.812470,-6.574746,7.151033
40,91.230704,84.145200,92.828352,78.448474,1.597647,-5.696725,5.916516
41,89.306370,83.600279,85.643049,79.004191,-3.663322,-4.596088,5.877410
42,87.382036,83.055359,83.949229,81.314574,-3.432807,-1.740785,3.848960
43,85.457702,82.510438,82.360917,80.813367,-3.096785,-1.697071,3.531307
44,83.533368,81.965518,80.835871,81.251243,-2.697497,-0.714275,2.790462
45,81.609034,81.420597,80.220550,80.232236,-1.388484,-1.188361,1.827591
46,79.684700,80.875677,79.705945,79.358413,0.021245,-1.517264,1.517413
47,77.760366,80.330756,78.081112,79.826085,0.320746,-0.504671,0.597973
48,75.836032,79.785836,77.027427,79.224638,1.191395,-0.561198,1.316953
49,73.911698,79.240915,75.842337,78.563674,1.930639,-0.677241,2.045977
50,71.987364,78.695995,74.737499,77.239865,2.750135,-1.456130,3.111842
51,70.063029,78.151074,73.416333,76.364133,3.353304,-1.786941,3.799711
52,84.912782,84.434772,82.471809,83.841443,-2.440973,-0.593330,2.512049
53,82.988448,83.889852,81.578910,82.448156,-1.409537,-1.441695,2.016254
54,81.064114,83.344931,79.846326,83.545904,-1.217787,0.200972,1.234259
55,79.139779,82.800011,79.142604,81.623720,0.002825,-1.176291,1.176294
56,77.215445,82.255090,77.804567,81.168136,0.589122,-1.086955,1.236339
57,75.291111,81.710170,76.359897,80.737438,1.068785,-0.972732,1.445168
58,73.366777,81.165249,75.304686,79.997253,1.937908,-1.167997,2.262677
59,71.442443,80.620329,74.425718,79.155184,2.983275,-1.465145,3.323640
60,69.518109,80.075408,73.260011,77.877907,3.741902,-2.197502,4.339452
61,76.670525,84.179424,77.864535,83.102657,1.194010,-1.076768,1.607821
62,74.746191,83.634504,76.011197,82.396025,1.265006,-1.238479,1.770331
63,72.821857,83.089584,74.143539,82.020066,1.321683,-1.069517,1.700209
64,70.897523,82.544663,73.659136,80.445271,2.761613,-2.099392,3.468999
65,68.973189,81.999743,71.903740,80.502973,2.930552,-1.496770,3.290662
66,68.428268,83.924077,69.956662,82.122395,1.528394,-1.801682,2.362635
67,87.926957,81.131025,85.331992,77.349932,-2.594965,-3.781092,4.585903
68,86.002623,80.586104,83.536332,79.272478,-2.466290,-1.313626,2.794316
69,84.078289,80.041184,81.730802,79.502992,-2.347486,-0.538191,2.408390
70,62.910614,74.047058,65.863445,70.352318,2.952831,-3.694740,4.729727
71,60.986280,73.502138,62.833820,70.577723,1.847541,-2.924415,3.459134
72,59.061945,72.957217,59.557478,71.820710,0.495533,-1.136507,1.239839
73,96.935257,56.659602,98.026199,58.144899,1.090942,1.485297,1.842895
74,95.010923,56.114681,96.695840,57.909501,1.684917,1.794820,2.461772
75,93.086589,55.569761,95.437827,58.631566,2.351238,3.061805,3.860437
76,145.588530,68.358280,141.853312,74.670725,-3.735218,6.312445,7.334768
77,143.664196,67.813359,138.459688,73.240866,-5.204507,5.427507,7.519622
78,141.739861,67.268439,135.024735,71.882457,-6.715126,4.614018,8.147520
79,150.271691,73.841709,147.931781,78.898342,-2.339910,5.056633,5.571778
80,148.347357,73.296789,145.186645,78.453726,-3.160712,5.156937,6.048479
81,146.423023,72.751868,142.851927,77.358127,-3.571096,4.606259,5.828409
82,148.892277,71.372455,145.937586,77.107398,-2.954691,5.734943,6.451339
83,146.967943,70.827534,143.642307,76.139611,-3.325636,5.312076,6.267217
84,145.043609,70.282614,140.093806,75.334484,-4.949803,5.051870,7.072619
85,143.119275,69.737693,138.221646,74.875352,-4.897629,5.137659,7.098050
86,141.194941,69.192773,135.741587,73.611208,-5.453354,4.418435,7.018663
87,153.575439,76.855884,151.211389,81.238227,-2.364050,4.382342,4.979323
88,151.651105,76.310964,149.184742,80.403607,-2.466363,4.092643,4.778355
89,149.726770,75.766043,146.570890,79.801223,-3.155880,4.035180,5.122720
90,147.802436,75.221123,144.230727,79.334782,-3.571709,4.113659,5.447871
91,145.878102,74.676202,142.899121,78.590941,-2.978981,3.914738,4.919299
92,143.953768,74.131282,141.142766,77.833734,-2.811002,3.702452,4.648643
93,142.029434,73.586362,139.012409,76.772795,-3.017025,3.186433,4.388143
94,140.105100,73.041441,135.703651,76.337591,-4.401449,3.296150,5.498850
95,154.954852,79.325139,152.881055,82.747270,-2.073797,3.422131,4.001451
96,153.030518,78.780218,150.187700,82.485104,-2.842818,3.704886,4.669881
97,151.106184,78.235298,148.593892,81.811374,-2.512292,3.576076,4.370347
98,149.181850,77.690378,147.124828,81.145954,-2.057022,3.455577,4.021486
99,147.257516,77.145457,145.303731,80.435814,-1.953785,3.290357,3.826712
100,145.333182,76.600537,142.660792,79.847715,-2.672390,3.247179,4.205453
101,143.408848,76.055616,141.154861,79.081738,-2.253986,3.026121,3.773310
102,141.484514,75.510696,139.539924,78.081639,-1.944590,2.570943,3.223535
103,139.560180,74.965775,136.992131,77.630593,-2.568049,2.664818,3.700828
104,158.258600,82.339314,155.649730,84.937095,-2.608870,2.597781,3.681667
105,156.334266,81.794394,153.802243,84.412294,-2.532023,2.617900,3.642052
106,154.409932,81.249473,151.864042,84.026393,-2.545890,2.776920,3.767338
107,152.485598,80.704553,150.392178,83.799244,-2.093419,3.094692,3.736244
108,150.561264,80.159632,148.209131,83.053651,-2.352133,2.894019,3.729326
109,148.636930,79.614712,146.861452,82.450799,-1.775477,2.836088,3.345999
110,146.712595,79.069791,145.459374,81.703493,-1.253221,2.633702,2.916667
111,144.788261,78.524871,143.837423,80.821695,-0.950838,2.296824,2.485859
112,142.863927,77.979950,140.864291,79.971884,-1.999636,1.991934,2.822472
113,140.939593,77.435030,138.721010,78.655966,-2.218583,1.220936,2.532350
114,139.015259,76.890109,136.100275,77.111399,-2.914984,0.221290,2.923372
115,159.638014,84.808569,157.132112,86.720786,-2.505901,1.912217,3.152160
116,157.713679,84.263648,155.175086,86.640685,-2.538593,2.377037,3.477752
117,155.789345,83.718728,153.544628,85.919962,-2.244718,2.201234,3.143913
118,153.865011,83.173807,151.947148,85.427906,-1.917864,2.254099,2.959588
119,151.940677,82.628887,150.470885,85.214429,-1.469792,2.585542,2.974108
120,150.016343,82.083966,149.051641,84.048336,-0.964703,1.964370,2.188470
121,148.092009,81.539046,146.642536,83.768130,-1.449473,2.229084,2.658907
122,146.167675,80.994125,144.825207,82.532714,-1.342468,1.538589,2.041929
123,144.243341,80.449205,142.790765,81.193359,-1.452576,0.744154,1.632098
124,142.319007,79.904284,141.815527,80.570625,-0.503480,0.666340,0.835166
125,140.394673,79.359364,139.823998,79.327069,-0.570675,-0.032294,0.571588
126,138.470339,78.814443,137.808421,78.112216,-0.661918,-0.702228,0.965017
127,161.017427,87.277823,158.541366,88.414146,-2.476061,1.136323,2.724354
128,159.093093,86.732903,156.498842,88.450738,-2.594251,1.717835,3.111446
129,157.168759,86.187982,155.133097,88.283011,-2.035662,2.095029,2.921141
130,155.244425,85.643062,153.808375,87.438190,-1.436050,1.795128,2.298853
131,153.320091,85.098141,152.232718,86.785388,-1.087373,1.687247,2.007283
132,151.395757,84.553221,150.281086,86.380508,-1.114670,1.827287,2.140436
133,149.471423,84.008300,148.387286,84.999600,-1.084136,0.991299,1.469022
134,147.547089,83.463380,147.483180,84.357462,-0.063908,0.894082,0.896363
135,145.622754,82.918459,145.768221,83.169710,0.145466,0.251251,0.290323
136,143.698420,82.373539,143.864442,81.893430,0.166022,-0.480109,0.508003
137,141.774086,81.828618,140.417862,81.961321,-1.356225,0.132703,1.362701
138,139.849752,81.283698,137.750759,80.288472,-2.098993,-0.995226,2.322982
139,137.925418,80.738777,135.387487,79.085479,-2.537931,-1.653298,3.028942
140,160.472507,89.202157,158.798104,90.305114,-1.674402,1.102957,2.005028
141,158.548173,88.657237,157.033974,89.896501,-1.514199,1.239264,1.956674
142,156.623839,88.112316,155.022455,90.086202,-1.601383,1.973885,2.541781
143,154.699504,87.567396,153.217826,88.631747,-1.481678,1.064351,1.824340
144,152.775170,87.022475,152.287796,87.905207,-0.487375,0.882732,1.008340
145,150.850836,86.477555,151.151868,87.035303,0.301032,0.557749,0.633801
146,148.926502,85.932634,149.300642,85.657907,0.374139,-0.274727,0.464172
147,147.002168,85.387714,145.811739,85.188563,-1.190429,-0.199151,1.206972
148,145.077834,84.842793,144.158782,84.059728,-0.919052,-0.783066,1.207414
149,143.153500,84.297873,142.904724,83.355529,-0.248776,-0.942344,0.974629
150,141.229166,83.752952,141.659315,82.700340,0.430149,-1.052613,1.137111
151,139.304832,83.208032,139.094575,81.167892,-0.210257,-2.040140,2.050946
152,137.380498,82.663112,136.166225,80.783331,-1.214273,-1.879780,2.237863
153,159.927586,91.126491,159.270139,92.100517,-0.657447,0.974025,1.175144
154,158.003252,90.581571,156.946415,91.699946,-1.056837,1.118375,1.538722
155,156.078918,90.036650,155.934835,90.843378,-0.144083,0.806728,0.819493
156,154.154584,89.491730,154.141111,89.367001,-0.013473,-0.124729,0.125455
157,152.230250,88.946809,151.110882,89.067818,-1.119368,0.121008,1.125889
158,150.305916,88.401889,149.558112,87.886313,-0.747804,-0.515576,0.908311
159,148.381582,87.856968,148.223594,86.901562,-0.157988,-0.955406,0.968380
160,146.457248,87.312048,146.971179,86.069602,0.513931,-1.242446,1.344544
161,144.532914,86.767127,144.320842,85.295988,-0.212072,-1.471140,1.486347
162,142.608579,86.222207,142.148824,84.825957,-0.459755,-1.396250,1.469996
163,140.684245,85.677287,140.384889,84.037074,-0.299357,-1.640212,1.667306
164,138.759911,85.132366,138.421575,82.788815,-0.338336,-2.343551,2.367848
165,136.835577,84.587446,133.523493,85.044652,-3.312085,0.457206,3.343492
