orig_index,orig_x,orig_y,new_x,new_y,dx,dy,dist
0,81.794062,126.799774,75.587583,126.327190,-6.206479,-0.472584,6.224445
1,78.322752,129.584450,76.402088,128.005178,-1.920664,-1.579272,2.486574
2,84.420549,121.749756,80.925276,122.254994,-3.495273,0.505238,3.531600
3,72.155233,126.709681,67.990017,127.583433,-4.165216,0.873752,4.255875
4,75.977229,125.744956,68.827281,125.698363,-7.149948,-0.046593,7.150100
5,71.125510,123.832487,68.796602,123.159006,-2.328908,-0.673481,2.424332
6,76.023004,130.591168,75.390466,129.018515,-0.632538,-1.572653,1.695094
7,69.495026,125.866245,67.564889,125.681376,-1.930137,-0.184869,1.938971
8,78.418665,122.454437,75.361609,122.241302,-3.057056,-0.213135,3.064477
9,80.619377,125.457206,71.484283,124.851516,-9.135094,-0.605690,9.155151
10,71.998750,129.396558,69.948160,128.076859,-2.050590,-1.319699,2.438550
11,73.812465,127.663667,68.798225,126.829509,-5.014240,-0.834158,5.083151
12,75.539087,123.108988,70.460822,122.951020,-5.078265,-0.157968,5.080722
13,70.773628,126.616406,67.055537,126.970958,-3.718091,0.354552,3.734957
14,73.082774,124.029279,68.656765,123.410341,-4.426009,-0.618938,4.469076
15,82.654729,128.336148,79.559975,127.685073,-3.094754,-0.651075,3.162499
16,67.905717,128.794396,66.864704,127.666869,-1.041013,-1.127527,1.534610
17,82.595797,125.494450,73.160801,124.981151,-9.434996,-0.513299,9.448948
18,77.823825,125.081517,69.524383,124.738888,-8.299442,-0.342629,8.306511
19,73.897009,125.959933,67.657514,126.501721,-6.239495,0.541788,6.262973
20,74.645658,130.333815,73.461951,128.922031,-1.183707,-1.411784,1.842362
21,71.222304,121.947286,69.396552,121.230148,-1.825752,-0.717138,1.961544
22,69.534763,124.183486,68.673660,123.930341,-0.861103,-0.253145,0.897541
23,75.499436,121.615496,72.699313,121.859958,-2.800123,0.244462,2.810774
24,76.380650,129.619045,73.161373,127.556494,-3.219277,-2.062551,3.823331
25,76.622599,124.224528,69.625132,123.653135,-6.997467,-0.571393,7.020758
26,79.002294,125.183235,70.460640,124.332592,-8.541654,-0.850643,8.583906
27,86.236982,122.455296,82.760320,122.280319,-3.476662,-0.174977,3.481062
28,68.463724,124.612760,68.463724,124.612760,0.000000,0.000000,0.000000
29,79.621750,129.429866,77.597311,128.486459,-2.024439,-0.943407,2.233466
30,71.135734,130.079078,70.145926,129.210416,-0.989808,-0.868662,1.316926
31,74.618109,128.921676,71.453289,127.779319,-3.164820,-1.142357,3.364679
32,78.727168,127.584853,72.344816,126.135143,-6.382352,-1.449710,6.544928
33,66.975001,129.597001,66.412996,128.545138,-0.562005,-1.051863,1.192588
34,72.649248,122.571361,70.420581,121.448616,-2.228667,-1.122745,2.495498
35,76.615623,121.714372,73.957027,122.014882,-2.658596,0.300510,2.675526
36,81.642787,123.911530,74.004638,123.651745,-7.638149,-0.259785,7.642565
37,74.194617,122.006489,71.490414,121.694903,-2.704203,-0.311586,2.722095
38,70.608172,128.321366,68.899722,127.935261,-1.708450,-0.386105,1.751536
39,77.673379,123.594459,71.411414,123.161291,-6.261965,-0.433168,6.276929
40,74.489732,125.075457,68.372112,124.932224,-6.117620,-0.143233,6.119296
41,77.416857,128.806957,74.716276,127.630200,-2.700581,-1.176757,2.945826
42,80.168119,123.527783,72.480200,123.580524,-7.687919,0.052741,7.688100
43,73.239320,130.247880,71.830314,128.933072,-1.409006,-1.314808,1.927179
44,80.164941,127.093016,73.955936,126.218206,-6.209005,-0.874810,6.270330
45,70.138074,122.901672,68.981556,122.429085,-1.156518,-0.472587,1.249349
46,77.600887,126.498862,70.384333,125.627989,-7.216554,-0.870873,7.268911
47,69.671006,129.843721,68.529757,129.250751,-1.141249,-0.592970,1.286104
48,79.561034,122.450170,76.869313,122.318026,-2.691721,-0.132144,2.694963
49,71.860012,125.291972,68.037645,125.265992,-3.822367,-0.025980,3.822455
50,85.210723,123.696213,76.910022,123.987228,-8.300701,0.291015,8.305800
51,69.113212,127.829606,67.545609,128.737714,-1.567603,0.908108,1.811640
52,68.216215,126.280506,67.248608,126.304213,-0.967607,0.023707,0.967897
53,80.842715,128.617840,78.425607,127.710311,-2.417108,-0.907529,2.581864
54,74.135358,123.525135,69.593909,122.145023,-4.541449,-1.380112,4.746522
55,76.493580,127.509361,71.341758,126.572036,-5.151822,-0.937325,5.236396
56,75.421874,127.454821,69.514304,126.133833,-5.907570,-1.320988,6.053461
57,72.828309,128.601286,70.171105,127.034691,-2.657204,-1.566595,3.084631
58,83.479776,124.081792,75.205703,124.491007,-8.274073,0.409215,8.284186
59,82.625983,122.709965,78.761819,122.252695,-3.864164,-0.457270,3.891126
60,132.013738,120.643381,124.969172,119.395745,-7.044566,-1.247636,7.154195
61,142.533554,119.435275,132.888455,119.410543,-9.645099,-0.024732,9.645131
62,135.817056,122.608742,132.014828,122.405399,-3.802228,-0.203343,3.807662
63,136.704527,115.152743,134.125023,116.792643,-2.579504,1.639900,3.056650
64,137.450355,120.853803,128.424053,119.764477,-9.026302,-1.089326,9.091797
65,134.577075,115.497959,130.804876,116.185090,-3.772199,0.687131,3.834272
66,138.604566,119.922157,129.378937,118.837129,-9.225629,-1.085028,9.289215
67,145.909053,122.082260,142.250922,122.368103,-3.658131,0.285843,3.669282
68,140.756629,115.718918,139.328088,116.565664,-1.428541,0.846746,1.660635
69,146.304315,114.889341,144.760770,117.240325,-1.543545,2.350984,2.812411
70,143.625031,118.674409,135.958917,118.734514,-7.666114,0.060105,7.666349
71,140.528219,117.535835,135.213982,117.824562,-5.314237,0.288727,5.322075
72,143.690301,117.049355,139.519147,118.136200,-4.171154,1.086845,4.310424
73,141.356175,122.114552,134.755502,121.368362,-6.600673,-0.746190,6.642716
74,141.546001,118.177549,133.987084,118.658305,-7.558917,0.480756,7.574190
75,132.964279,115.575746,129.810107,115.314353,-3.154172,-0.261393,3.164984
76,143.624874,114.738380,143.021074,116.434582,-0.603800,1.696202,1.800465
77,141.888514,116.612865,137.575587,117.737578,-4.312927,1.124713,4.457165
78,135.976959,114.257435,133.723282,115.581278,-2.253677,1.323843,2.613737
79,143.330436,121.498284,136.338181,121.397890,-6.992255,-0.100394,6.992976
80,137.953822,115.373996,136.495424,115.819566,-1.458398,0.445570,1.524945
81,132.923656,117.709682,125.186066,116.236011,-7.737590,-1.473671,7.876674
82,136.546877,119.253737,127.203313,118.357966,-9.343564,-0.895771,9.386405
83,131.257052,118.522470,121.965108,116.954841,-9.291944,-1.567629,9.423252
84,144.543837,121.728656,140.352203,122.155794,-4.191634,0.427138,4.213341
85,135.367586,120.188472,125.710367,118.427861,-9.657219,-1.760611,9.816396
86,136.101746,121.459611,129.329757,121.005817,-6.771989,-0.453794,6.787176
87,140.604212,122.740263,137.591025,123.020807,-3.013187,0.280544,3.026219
88,133.640319,119.421426,123.572303,117.553129,-10.068016,-1.868297,10.239896
89,144.512009,119.985622,135.177658,119.966157,-9.334351,-0.019465,9.334371
90,139.236904,118.106866,132.234637,118.245134,-7.002267,0.138268,7.003632
91,139.231882,116.379366,135.540672,116.623986,-3.691210,0.244620,3.699307
92,134.440229,114.144644,132.100214,115.372196,-2.340015,1.227552,2.642452
93,146.255230,117.086644,140.878136,119.364237,-5.377094,2.277593,5.839570
94,137.819299,116.998094,132.572546,116.964558,-5.246753,-0.033536,5.246860
95,137.774658,122.549083,133.835298,122.574936,-3.939360,0.025853,3.939445
96,141.728734,120.709337,133.289243,120.861555,-8.439491,0.152218,8.440864
97,134.987136,118.406315,126.279323,116.920896,-8.707813,-1.485419,8.833600
98,145.064914,115.991436,142.067906,117.877005,-2.997008,1.885569,3.540823
99,139.227525,123.089274,135.820837,122.938678,-3.406688,-0.150596,3.410015
100,145.201245,118.139727,137.300735,119.154447,-7.900510,1.014720,7.965407
101,137.750179,118.534462,128.979503,117.630516,-8.770676,-0.903946,8.817135
102,142.805114,115.652513,140.953950,116.640773,-1.851164,0.988260,2.098444
