slot_id,x,y,angle_deg
s_0,92.475566,127.073654,1.47
s_1,81.972292,130.770147,18.00
s_2,80.902582,122.389279,169.70
s_3,81.011383,126.920031,1.36
s_4,75.766550,126.726860,102.11
s_5,74.098357,128.362810,56.73
s_6,79.164312,130.547920,359.21
s_7,71.259191,128.910081,59.90
s_8,75.296243,122.378013,181.40
s_9,71.949837,126.024380,176.26
s_10,76.549405,129.470144,0.93
s_11,83.525020,127.727009,0.37
s_12,70.305394,125.010697,160.03
s_13,77.774268,128.212696,12.85
s_14,72.252485,127.907079,102.09
s_15,91.021795,128.366462,0.21
s_16,70.776957,130.273938,27.26
s_17,73.151949,125.284639,181.27
s_18,74.003179,126.904988,154.49
s_19,82.608397,126.494436,3.51
s_20,77.538636,130.381683,0.95
s_21,68.522321,124.023010,142.45
s_22,67.886306,128.566821,110.61
s_23,72.249840,122.307212,167.98
s_24,82.301680,129.393105,357.81
s_25,69.809860,126.828220,159.08
s_26,71.117063,127.110724,166.26
s_27,82.675650,122.454936,180.01
s_28,67.536237,126.683337,114.13
s_29,84.752847,130.223704,8.79
s_30,73.842431,130.195205,2.46
s_31,81.336994,128.594364,357.21
s_32,88.531300,127.787440,1.18
s_33,68.939524,129.934259,9.74
s_34,69.498349,123.134312,169.87
s_35,73.760587,122.292441,168.55
s_36,73.905432,123.777399,180.99
s_37,70.449941,122.054747,179.26
s_38,79.031597,128.374994,0.36
s_39,71.090903,123.770132,178.47
s_40,77.238626,126.968931,34.56
s_41,84.544787,128.762750,359.64
s_42,72.202206,123.803961,178.01
s_43,75.276299,130.771541,14.42
s_44,90.114946,126.951362,359.18
s_45,68.656853,125.646866,118.35
s_46,87.519401,126.412536,359.50
s_47,72.473131,130.130776,5.85
s_48,76.814018,122.322174,182.67
s_49,79.243078,126.556811,9.72
s_50,77.123248,123.790619,179.33
s_51,75.455519,128.745971,8.22
s_52,66.706719,129.396533,115.85
s_53,87.099156,129.148145,4.84
s_54,69.146015,128.098548,137.49
s_55,86.380407,127.612982,0.60
s_56,84.979767,126.607924,354.94
s_57,80.060883,128.987040,3.05
s_58,75.118561,124.648022,176.13
s_59,78.773517,122.161986,188.10
s_60,124.705847,119.182958,191.30
s_61,134.149584,118.634361,185.46
s_62,131.978121,122.310990,184.44
s_63,131.023715,114.944503,182.10
s_64,128.552764,119.592035,188.07
s_65,129.110309,113.872013,196.56
s_66,129.176916,118.353569,189.45
s_67,141.589741,122.307202,177.02
s_68,136.653233,115.700625,180.26
s_69,143.386547,115.050609,176.84
s_70,136.031006,118.308408,182.76
s_71,131.123129,116.702687,185.06
s_72,135.067787,116.785948,181.75
s_73,134.786233,121.207623,187.86
s_74,132.465077,117.844248,182.10
s_75,127.383058,113.785553,197.78
s_76,141.189922,114.802589,178.49
s_77,133.552220,116.350280,181.80
s_78,133.535977,113.912174,188.05
s_79,135.712430,120.095078,190.44
s_80,134.909305,114.757440,191.45
s_81,122.979284,115.332534,193.44
s_82,127.048736,118.218892,186.22
s_83,121.865902,116.671815,191.15
s_84,138.053331,120.860945,187.61
s_85,125.655884,118.336835,190.79
s_86,129.260505,120.928314,184.44
s_87,137.548397,122.780309,179.25
s_88,123.607281,117.176806,192.61
s_89,138.428933,118.089991,197.31
s_90,129.615290,116.809046,187.68
s_91,132.478294,115.400492,188.25
s_92,131.252233,113.491358,191.58
s_93,145.643228,114.476799,256.80
s_94,128.970472,115.409502,190.18
s_95,133.753643,122.325870,183.18
s_96,133.108947,119.849438,185.70
s_97,125.528175,116.614600,190.73
s_98,137.879903,116.533815,175.68
s_99,135.803000,122.749259,185.67
s_100,140.751196,116.632040,198.72
s_101,127.918713,116.935262,189.24
s_102,139.023923,114.896391,191.31
s_103,125.022747,114.851631,192.29
s_104,130.690006,120.714307,186.29
s_105,127.116519,120.663151,184.19
s_106,131.939141,120.376563,184.51
s_107,146.136187,115.792149,263.20
s_108,130.847818,118.642893,184.82
s_109,144.840766,116.646690,253.49
s_110,129.440984,122.286086,181.11
s_111,136.758556,114.195857,194.17
s_112,139.471221,122.783987,168.45
s_113,126.869317,115.464060,190.19
s_114,136.017448,127.270525,175.16
s_115,125.455442,129.071939,188.26
s_116,127.861864,125.520694,190.43
s_117,134.807223,131.979308,181.42
s_118,127.521878,131.820533,182.85
s_119,122.875387,124.262325,192.31
s_120,138.025252,126.788486,178.14
s_121,143.916844,132.306063,185.34
s_122,141.502449,132.427195,185.10
s_123,128.070701,127.476454,185.73
s_124,121.054729,124.341721,190.39
s_125,124.325432,124.900281,192.30
s_126,124.779428,126.837739,192.36
s_127,146.744290,127.518863,255.94
s_128,132.245512,128.706455,185.20
s_129,136.355089,131.020505,187.35
s_130,136.431411,132.955920,182.93
s_131,123.647638,128.099941,191.63
s_132,138.513690,132.992216,179.87
s_133,134.654057,128.162788,181.85
s_134,130.017263,124.154896,190.20
s_135,121.599813,128.479741,194.87
s_136,133.817699,124.489220,190.94
s_137,146.503123,125.738610,254.73
s_138,138.009942,125.091660,187.70
s_139,135.339716,124.675165,182.80
s_140,138.689645,131.290102,185.53
s_141,122.908855,126.368418,190.76
s_142,129.667788,130.954992,183.65
s_143,144.417494,124.981447,194.41
s_144,130.667232,125.541915,185.24
s_145,126.031748,125.097998,191.08
s_146,123.772510,129.754132,185.94
s_147,139.395887,127.746150,194.94
s_148,128.178903,130.663903,188.85
s_149,132.734768,125.829047,183.22
