orig_index,orig_x,orig_y,new_x,new_y,dx,dy,dist
0,81.794062,126.799774,92.475566,127.073654,10.681504,0.273880,10.685015
1,78.322752,129.584450,81.972292,130.770147,3.649540,1.185697,3.837319
2,84.420549,121.749756,80.902582,122.389279,-3.517967,0.639523,3.575623
3,72.155233,126.709681,81.011383,126.920031,8.856150,0.210350,8.858648
4,75.977229,125.744956,75.766550,126.726860,-0.210679,0.981904,1.004251
5,71.125510,123.832487,74.098357,128.362810,2.972847,4.530323,5.418639
6,76.023004,130.591168,79.164312,130.547920,3.141308,-0.043248,3.141606
7,69.495026,125.866245,71.259191,128.910081,1.764165,3.043836,3.518126
8,78.418665,122.454437,75.296243,122.378013,-3.122422,-0.076424,3.123357
9,80.619377,125.457206,71.949837,126.024380,-8.669540,0.567174,8.688073
10,71.998750,129.396558,76.549405,129.470144,4.550655,0.073586,4.551250
11,73.812465,127.663667,83.525020,127.727009,9.712555,0.063342,9.712761
12,75.539087,123.108988,70.305394,125.010697,-5.233693,1.901709,5.568486
13,70.773628,126.616406,77.774268,128.212696,7.000640,1.596290,7.180328
14,73.082774,124.029279,72.252485,127.907079,-0.830289,3.877800,3.965692
15,82.654729,128.336148,91.021795,128.366462,8.367066,0.030314,8.367121
16,67.905717,128.794396,70.776957,130.273938,2.871240,1.479542,3.230025
17,82.595797,125.494450,73.151949,125.284639,-9.443848,-0.209811,9.446178
18,77.823825,125.081517,74.003179,126.904988,-3.820646,1.823471,4.233483
19,73.897009,125.959933,82.608397,126.494436,8.711388,0.534503,8.727770
20,74.645658,130.333815,77.538636,130.381683,2.892978,0.047868,2.893374
21,71.222304,121.947286,68.522321,124.023010,-2.699983,2.075724,3.405663
22,69.534763,124.183486,67.886306,128.566821,-1.648457,4.383335,4.683059
23,75.499436,121.615496,72.249840,122.307212,-3.249596,0.691716,3.322401
24,76.380650,129.619045,82.301680,129.393105,5.921030,-0.225940,5.925339
25,76.622599,124.224528,69.809860,126.828220,-6.812739,2.603692,7.293327
26,79.002294,125.183235,71.117063,127.110724,-7.885231,1.927489,8.117394
27,86.236982,122.455296,82.675650,122.454936,-3.561332,-0.000360,3.561332
28,68.463724,124.612760,67.536237,126.683337,-0.927487,2.070577,2.268815
29,79.621750,129.429866,84.752847,130.223704,5.131097,0.793838,5.192142
30,71.135734,130.079078,73.842431,130.195205,2.706697,0.116127,2.709187
31,74.618109,128.921676,81.336994,128.594364,6.718885,-0.327312,6.726852
32,78.727168,127.584853,88.531300,127.787440,9.804132,0.202587,9.806225
33,66.975001,129.597001,68.939524,129.934259,1.964523,0.337258,1.993262
34,72.649248,122.571361,69.498349,123.134312,-3.150899,0.562951,3.200793
35,76.615623,121.714372,73.760587,122.292441,-2.855036,0.578069,2.912970
36,81.642787,123.911530,73.905432,123.777399,-7.737355,-0.134131,7.738518
37,74.194617,122.006489,70.449941,122.054747,-3.744676,0.048258,3.744986
38,70.608172,128.321366,79.031597,128.374994,8.423425,0.053628,8.423595
39,77.673379,123.594459,71.090903,123.770132,-6.582476,0.175673,6.584820
40,74.489732,125.075457,77.238626,126.968931,2.748894,1.893474,3.337913
41,77.416857,128.806957,84.544787,128.762750,7.127930,-0.044207,7.128067
42,80.168119,123.527783,72.202206,123.803961,-7.965913,0.276178,7.970700
43,73.239320,130.247880,75.276299,130.771541,2.036979,0.523661,2.103213
44,80.164941,127.093016,90.114946,126.951362,9.950005,-0.141654,9.951013
45,70.138074,122.901672,68.656853,125.646866,-1.481221,2.745194,3.119312
46,77.600887,126.498862,87.519401,126.412536,9.918514,-0.086326,9.918890
47,69.671006,129.843721,72.473131,130.130776,2.802125,0.287055,2.816790
48,79.561034,122.450170,76.814018,122.322174,-2.747016,-0.127996,2.749996
49,71.860012,125.291972,79.243078,126.556811,7.383066,1.264839,7.490626
50,85.210723,123.696213,77.123248,123.790619,-8.087475,0.094406,8.088026
51,69.113212,127.829606,75.455519,128.745971,6.342307,0.916365,6.408165
52,68.216215,126.280506,66.706719,129.396533,-1.509496,3.116027,3.462398
53,80.842715,128.617840,87.099156,129.148145,6.256441,0.530305,6.278875
54,74.135358,123.525135,69.146015,128.098548,-4.989343,4.573413,6.768282
55,76.493580,127.509361,86.380407,127.612982,9.886827,0.103621,9.887370
56,75.421874,127.454821,84.979767,126.607924,9.557893,-0.846897,9.595340
57,72.828309,128.601286,80.060883,128.987040,7.232574,0.385754,7.242854
58,83.479776,124.081792,75.118561,124.648022,-8.361215,0.566230,8.380366
59,82.625983,122.709965,78.773517,122.161986,-3.852466,-0.547979,3.891243
60,132.013738,120.643381,124.705847,119.182958,-7.307891,-1.460423,7.452389
61,142.533554,119.435275,134.149584,118.634361,-8.383970,-0.800914,8.422139
62,135.817056,122.608742,131.978121,122.310990,-3.838935,-0.297752,3.850465
63,136.704527,115.152743,131.023715,114.944503,-5.680812,-0.208240,5.684627
64,137.450355,120.853803,128.552764,119.592035,-8.897591,-1.261768,8.986612
65,134.577075,115.497959,129.110309,113.872013,-5.466766,-1.625946,5.703440
66,138.604566,119.922157,129.176916,118.353569,-9.427650,-1.568588,9.557251
67,145.909053,122.082260,141.589741,122.307202,-4.319312,0.224942,4.325166
68,140.756629,115.718918,136.653233,115.700625,-4.103396,-0.018293,4.103436
69,146.304315,114.889341,143.386547,115.050609,-2.917768,0.161268,2.922221
70,143.625031,118.674409,136.031006,118.308408,-7.594025,-0.366001,7.602840
71,140.528219,117.535835,131.123129,116.702687,-9.405090,-0.833148,9.441920
72,143.690301,117.049355,135.067787,116.785948,-8.622514,-0.263407,8.626537
73,141.356175,122.114552,134.786233,121.207623,-6.569942,-0.906929,6.632243
74,141.546001,118.177549,132.465077,117.844248,-9.080924,-0.333301,9.087039
75,132.964279,115.575746,127.383058,113.785553,-5.581221,-1.790193,5.861298
76,143.624874,114.738380,141.189922,114.802589,-2.434952,0.064209,2.435798
77,141.888514,116.612865,133.552220,116.350280,-8.336294,-0.262585,8.340429
78,135.976959,114.257435,133.535977,113.912174,-2.440982,-0.345261,2.465278
79,143.330436,121.498284,135.712430,120.095078,-7.618006,-1.403206,7.746160
80,137.953822,115.373996,134.909305,114.757440,-3.044517,-0.616556,3.106320
81,132.923656,117.709682,122.979284,115.332534,-9.944372,-2.377148,10.224548
82,136.546877,119.253737,127.048736,118.218892,-9.498141,-1.034845,9.554349
83,131.257052,118.522470,121.865902,116.671815,-9.391150,-1.850655,9.571762
84,144.543837,121.728656,138.053331,120.860945,-6.490506,-0.867711,6.548251
85,135.367586,120.188472,125.655884,118.336835,-9.711702,-1.851637,9.886644
86,136.101746,121.459611,129.260505,120.928314,-6.841241,-0.531297,6.861840
87,140.604212,122.740263,137.548397,122.780309,-3.055815,0.040046,3.056077
88,133.640319,119.421426,123.607281,117.176806,-10.033038,-2.244620,10.281059
89,144.512009,119.985622,138.428933,118.089991,-6.083076,-1.895631,6.371596
90,139.236904,118.106866,129.615290,116.809046,-9.621614,-1.297820,9.708748
91,139.231882,116.379366,132.478294,115.400492,-6.753588,-0.978874,6.824159
92,134.440229,114.144644,131.252233,113.491358,-3.187996,-0.653286,3.254243
93,146.255230,117.086644,145.643228,114.476799,-0.612002,-2.609845,2.680641
