orig_index,orig_x,orig_y,new_x,new_y,dx,dy,dist
0,144.498689,72.206948,146.058442,70.290716,1.559753,-1.916232,2.470784
1,142.574355,71.662027,144.552837,69.240598,1.978482,-2.421429,3.126933
2,140.650021,71.117107,142.870536,67.927313,2.220515,-3.189794,3.886576
3,120.027266,63.198648,122.900399,67.807528,2.873133,4.608881,5.431084
4,118.102932,62.653727,119.453190,67.803323,1.350258,5.149595,5.323676
5,68.138695,77.606154,72.751711,80.661160,4.613015,3.055006,5.532899
6,66.214361,77.061233,70.481377,80.584638,4.267016,3.523405,5.533697
7,64.290027,76.516313,66.942253,80.271079,2.652226,3.754766,4.597018
8,62.365693,75.971393,57.688732,73.705082,-4.676961,-2.266310,5.197127
9,60.441359,75.426472,56.613149,75.269602,-3.828210,-0.156870,3.831422
10,58.517025,74.881552,55.073290,75.010714,-3.443735,0.129162,3.446156
11,56.592691,74.336631,53.779661,74.918987,-2.813030,0.582356,2.872677
12,54.668357,73.791711,51.938520,74.317716,-2.729837,0.526006,2.780052
13,52.744023,73.246790,50.652596,74.847687,-2.091426,1.600897,2.633806
14,50.819689,72.701870,50.266641,74.162633,-0.553048,1.460763,1.561951
15,69.518109,80.075408,74.251651,80.043032,4.733542,-0.032377,4.733653
16,67.593775,79.530488,69.032979,82.211258,1.439205,2.680770,3.042669
17,65.669441,78.985568,68.662359,80.662808,2.992918,1.677241,3.430844
18,63.745107,78.440647,64.996804,81.139574,1.251697,2.698927,2.975055
19,61.820773,77.895727,62.473096,81.585907,0.652323,3.690180,3.747393
20,59.896439,77.350806,55.135768,77.434452,-4.760671,0.083646,4.761406
21,57.972104,76.805886,54.794992,76.261954,-3.177113,-0.543932,3.223338
22,56.047770,76.260965,53.378541,75.938447,-2.669229,-0.322518,2.688643
23,54.123436,75.716045,52.003932,75.913421,-2.119504,0.197376,2.128675
24,52.199102,75.171124,51.126843,75.418985,-1.072259,0.247861,1.100534
25,68.973189,81.999743,67.920055,82.991113,-1.053133,0.991370,1.446342
26,67.048854,81.454822,66.600488,81.617529,-0.448367,0.162707,0.476976
27,65.124520,80.909902,66.643025,83.162482,1.518504,2.252580,2.716610
28,63.200186,80.364981,65.324914,82.846497,2.124728,2.481516,3.266862
29,61.275852,79.820061,63.879776,82.409331,2.603924,2.589270,3.672157
30,59.351518,79.275140,55.110293,79.145700,-4.241226,-0.129440,4.243200
31,57.427184,78.730220,53.663420,78.496594,-3.763764,-0.233626,3.771008
32,55.502850,78.185299,53.069767,77.423273,-2.433083,-0.762026,2.549623
33,53.578516,77.640379,52.178780,76.871731,-1.399735,-0.768648,1.596897
34,68.428268,83.924077,69.809278,83.859640,1.381010,-0.064436,1.382513
35,66.503934,83.379156,66.833354,84.339190,0.329420,0.960034,1.014979
36,64.579600,82.834236,65.386176,84.101729,0.806576,1.267494,1.502366
37,62.655266,82.289315,63.773094,83.730154,1.117828,1.440839,1.823611
38,60.730932,81.744395,61.810654,83.176386,1.079722,1.431991,1.793432
39,58.806598,81.199474,60.608798,82.566678,1.802201,1.367204,2.262117
40,91.230704,84.145200,96.328138,84.389266,5.097434,0.244067,5.103273
41,89.306370,83.600279,83.638332,84.432631,-5.668038,0.832352,5.728827
42,87.382036,83.055359,81.828589,83.843981,-5.553447,0.788622,5.609162
43,85.457702,82.510438,80.646682,83.043425,-4.811021,0.532987,4.840454
44,83.533368,81.965518,79.888319,82.113062,-3.645049,0.147545,3.648034
45,81.609034,81.420597,78.838828,79.967519,-2.770206,-1.453078,3.128175
46,79.684700,80.875677,78.338395,79.021735,-1.346305,-1.853942,2.291209
47,77.760366,80.330756,77.328445,78.387907,-0.431921,-1.942849,1.990281
48,75.836032,79.785836,77.045859,79.385926,1.209827,-0.399910,1.274210
49,73.911698,79.240915,76.235649,78.602514,2.323952,-0.638401,2.410043
50,71.987364,78.695995,75.181794,77.983086,3.194431,-0.712909,3.273015
51,70.063029,78.151074,74.159002,78.333035,4.095973,0.181960,4.100013
52,84.912782,84.434772,82.254736,84.955129,-2.658045,0.520357,2.708501
53,82.988448,83.889852,79.948432,84.426615,-3.040016,0.536763,3.087039
54,81.064114,83.344931,79.430901,80.899502,-1.633213,-2.445429,2.940665
55,79.139779,82.800011,78.497374,81.851462,-0.642405,-0.948549,1.145613
56,77.215445,82.255090,78.021914,80.507426,0.806469,-1.747664,1.924766
57,75.291111,81.710170,77.100891,80.639805,1.809780,-1.070365,2.102614
58,73.366777,81.165249,76.062134,80.486861,2.695357,-0.678389,2.779417
59,71.442443,80.620329,75.507216,79.346753,4.064773,-1.273576,4.259621
60,69.518109,80.075408,74.251651,80.043032,4.733542,-0.032377,4.733653
61,76.670525,84.179424,78.649874,83.346294,1.979349,-0.833130,2.147540
62,74.746191,83.634504,77.137966,82.336097,2.391776,-1.298407,2.721480
63,72.821857,83.089584,75.434380,81.761956,2.612524,-1.327627,2.930507
64,70.897523,82.544663,70.427259,81.797225,-0.470264,-0.747438,0.883070
65,68.973189,81.999743,67.920055,82.991113,-1.053133,0.991370,1.446342
66,68.428268,83.924077,69.809278,83.859640,1.381010,-0.064436,1.382513
67,87.926957,81.131025,82.842654,82.531357,-5.084303,1.400332,5.273619
68,86.002623,80.586104,81.678412,81.824094,-4.324210,1.237990,4.497935
69,84.078289,80.041184,80.627625,81.118953,-3.450663,1.077770,3.615061
70,62.910614,74.047058,61.523743,71.630134,-1.386871,-2.416924,2.786563
71,60.986280,73.502138,59.133258,72.432097,-1.853021,-1.070041,2.139784
72,59.061945,72.957217,55.750691,73.910908,-3.311255,0.953691,3.445857
73,96.935257,56.659602,98.616062,58.097156,1.680805,1.437554,2.211711
74,95.010923,56.114681,97.656410,57.473422,2.645487,1.358741,2.974017
75,93.086589,55.569761,96.322399,57.754688,3.235810,2.184927,3.904404
76,145.588530,68.358280,145.846454,67.883778,0.257924,-0.474502,0.540071
77,143.664196,67.813359,144.314777,66.735587,0.650581,-1.077772,1.258908
78,141.739861,67.268439,142.668597,65.523982,0.928735,-1.744457,1.976279
79,150.271691,73.841709,150.850135,73.424716,0.578444,-0.416994,0.713079
80,148.347357,73.296789,150.039649,72.176144,1.692292,-1.120645,2.029704
81,146.423023,72.751868,148.402657,70.623344,1.979635,-2.128524,2.906814
82,148.892277,71.372455,149.066810,71.233238,0.174532,-0.139217,0.223255
83,146.967943,70.827534,147.746121,69.717069,0.778177,-1.110465,1.355984
84,145.043609,70.282614,146.738470,68.778227,1.694861,-1.504387,2.266215
85,143.119275,69.737693,145.124476,67.312858,2.005201,-2.424835,3.146531
