orig_index,orig_x,orig_y,new_x,new_y,dx,dy,dist
0,144.498689,72.206948,139.865347,68.796056,-4.633341,-3.410892,5.753437
1,142.574355,71.662027,138.678830,69.281001,-3.895525,-2.381027,4.565567
2,140.650021,71.117107,137.723391,69.340734,-2.926630,-1.776373,3.423545
3,120.027266,63.198648,117.227482,62.118619,-2.799784,-1.080029,3.000876
4,118.102932,62.653727,114.878906,61.229154,-3.224026,-1.424573,3.524734
5,68.138695,77.606154,65.833344,82.245599,-2.305351,4.639446,5.180647
6,66.214361,77.061233,65.125323,81.816203,-1.089038,4.754969,4.878087
7,64.290027,76.516313,64.421785,80.556113,0.131758,4.039800,4.041948
8,62.365693,75.971393,63.373967,79.031338,1.008274,3.059945,3.221782
9,60.441359,75.426472,62.282608,78.875745,1.841249,3.449273,3.909946
10,58.517025,74.881552,60.662572,79.228352,2.145547,4.346801,4.847479
11,56.592691,74.336631,58.051566,79.172217,1.458875,4.835586,5.050862
12,54.668357,73.791711,55.185642,78.412534,0.517285,4.620823,4.649687
13,52.744023,73.246790,52.928630,77.207066,0.184608,3.960276,3.964576
14,50.819689,72.701870,51.502744,76.401968,0.683056,3.700099,3.762618
15,69.518109,80.075408,68.555295,83.998880,-0.962814,3.923471,4.039881
16,67.593775,79.530488,66.953838,83.664831,-0.639937,4.134343,4.183577
17,65.669441,78.985568,66.069624,83.530463,0.400183,4.544896,4.562480
18,63.745107,78.440647,65.483951,83.146336,1.738845,4.705689,5.016681
19,61.820773,77.895727,64.780356,82.180754,2.959584,4.285027,5.207743
20,59.896439,77.350806,63.873250,81.019637,3.976812,3.668831,5.410670
21,57.972104,76.805886,62.513377,80.457470,4.541273,3.651584,5.827283
22,56.047770,76.260965,59.931026,80.242200,3.883256,3.981234,5.561466
23,54.123436,75.716045,56.494338,79.742254,2.370901,4.026209,4.672423
24,52.199102,75.171124,53.607959,78.644815,1.408857,3.473691,3.748521
25,68.973189,81.999743,71.259319,85.164312,2.286131,3.164570,3.903959
26,67.048854,81.454822,68.209812,84.895579,1.160958,3.440757,3.631340
27,65.124520,80.909902,66.672196,84.494038,1.547676,3.584136,3.904015
28,63.200186,80.364981,65.688859,84.011444,2.488673,3.646463,4.414769
29,61.275852,79.820061,64.878910,83.353039,3.603058,3.532978,5.046183
30,59.351518,79.275140,63.831485,82.502307,4.479967,3.227167,5.521296
31,57.427184,78.730220,61.978976,81.642782,4.551792,2.912562,5.403871
32,55.502850,78.185299,59.089993,81.099073,3.587143,2.913774,4.621436
33,53.578516,77.640379,56.199290,80.521009,2.620774,2.880630,3.894418
34,68.428268,83.924077,72.442864,85.820145,4.014596,1.896068,4.439826
35,66.503934,83.379156,69.529411,85.992213,3.025477,2.613057,3.997696
36,64.579600,82.834236,67.063518,85.534867,2.483918,2.700631,3.669231
37,62.655266,82.289315,65.539736,84.915812,2.884470,2.626497,3.901109
38,60.730932,81.744395,64.263807,84.168532,3.532876,2.424138,4.284583
39,58.806598,81.199474,62.503875,83.383461,3.697277,2.183987,4.294142
40,91.230704,84.145200,95.092730,84.609068,3.862026,0.463869,3.889784
41,89.306370,83.600279,93.570574,83.916735,4.264204,0.316456,4.275930
42,87.382036,83.055359,92.321516,83.314258,4.939480,0.258900,4.946261
43,85.457702,82.510438,90.905941,82.948074,5.448239,0.437636,5.465787
44,83.533368,81.965518,88.979574,83.051275,5.446206,1.085758,5.553380
45,81.609034,81.420597,86.421213,83.517602,4.812179,2.097005,5.249237
46,79.684700,80.875677,83.367033,83.745744,3.682333,2.870067,4.668711
47,77.760366,80.330756,81.282829,83.791278,3.522463,3.460521,4.937910
48,75.836032,79.785836,78.651118,83.874888,2.815086,4.089052,4.964378
49,73.911698,79.240915,72.561736,83.611682,-1.349961,4.370767,4.574495
50,71.987364,78.695995,68.881021,82.307121,-3.106342,3.611127,4.763360
51,70.063029,78.151074,67.018646,82.098788,-3.044383,3.947714,4.985250
52,84.912782,84.434772,88.714712,84.790903,3.801930,0.356131,3.818573
53,82.988448,83.889852,86.873750,84.799799,3.885303,0.909948,3.990436
54,81.064114,83.344931,84.546010,84.770437,3.481896,1.425505,3.762401
55,79.139779,82.800011,82.847645,84.590196,3.707865,1.790185,4.117405
56,77.215445,82.255090,81.437280,84.504973,4.221835,2.249883,4.783917
57,75.291111,81.710170,79.840627,84.480433,4.549516,2.770263,5.326580
58,73.366777,81.165249,77.110669,84.389752,3.743892,3.224503,4.941067
59,71.442443,80.620329,72.098827,84.477704,0.656384,3.857375,3.912823
60,69.518109,80.075408,68.555295,83.998880,-0.962814,3.923471,4.039881
61,76.670525,84.179424,80.992336,85.415670,4.321811,1.236245,4.495148
62,74.746191,83.634504,79.604390,85.139174,4.858200,1.504670,5.085876
63,72.821857,83.089584,77.864308,84.905851,5.042452,1.816267,5.359585
64,70.897523,82.544663,74.996812,84.902730,4.099289,2.358067,4.729128
65,68.973189,81.999743,71.259319,85.164312,2.286131,3.164570,3.903959
66,68.428268,83.924077,72.442864,85.820145,4.014596,1.896068,4.439826
67,87.926957,81.131025,93.684611,81.356744,5.757654,0.225720,5.762077
68,86.002623,80.586104,91.519611,81.182330,5.516988,0.596226,5.549112
69,84.078289,80.041184,89.290050,81.802005,5.211761,1.760822,5.501177
70,62.910614,74.047058,60.571133,77.275731,-2.339481,3.228673,3.987167
71,60.986280,73.502138,58.588931,77.607670,-2.397349,4.105532,4.754227
72,59.061945,72.957217,56.400281,77.174424,-2.661665,4.217207,4.986912
73,96.935257,56.659602,91.663990,58.577812,-5.271267,1.918210,5.609438
74,95.010923,56.114681,89.528714,57.043408,-5.482209,0.928727,5.560319
75,93.086589,55.569761,88.518964,55.866285,-4.567625,0.296524,4.577240
76,145.588530,68.358280,142.705068,66.149368,-2.883462,-2.208912,3.632306
77,143.664196,67.813359,140.228738,65.363711,-3.435457,-2.449648,4.219377
78,141.739861,67.268439,137.561998,64.778553,-4.177864,-2.489886,4.863546
79,150.271691,73.841709,147.884361,70.822599,-2.387330,-3.019111,3.848945
80,148.347357,73.296789,144.920517,69.647267,-3.426839,-3.649522,5.006220
81,146.423023,72.751868,141.998548,68.848174,-4.424475,-3.903694,5.900408
82,148.892277,71.372455,146.365845,68.886724,-2.526433,-2.485730,3.544251
83,146.967943,70.827534,143.896690,67.829749,-3.071253,-2.997785,4.291772
84,145.043609,70.282614,140.837628,67.024749,-4.205981,-3.257865,5.320147
85,143.119275,69.737693,138.117067,66.583161,-5.002208,-3.154532,5.913811
86,141.194941,69.192773,135.950801,66.414144,-5.244140,-2.778628,5.934794
87,153.575439,76.855884,151.325250,74.157348,-2.250189,-2.698537,3.513609
88,151.651105,76.310964,148.998309,72.866047,-2.652796,-3.444917,4.347962
89,149.726770,75.766043,146.043063,71.585279,-3.683708,-4.180765,5.572118
90,147.802436,75.221123,143.575388,71.033737,-4.227048,-4.187386,5.949969
91,145.878102,74.676202,142.277221,71.606417,-3.600881,-3.069785,4.731800
92,143.953768,74.131282,141.622804,72.130425,-2.330964,-2.000857,3.071941
93,142.029434,73.586362,140.533473,72.268953,-1.495961,-1.317409,1.993355
94,140.105100,73.041441,138.097515,71.994238,-2.007585,-1.047204,2.264295
95,154.954852,79.325139,152.811295,76.269104,-2.143558,-3.056035,3.732853
96,153.030518,78.780218,150.016359,74.864982,-3.014159,-3.915237,4.941076
97,151.106184,78.235298,147.234922,73.721982,-3.871262,-4.513316,5.946150
98,149.181850,77.690378,145.415478,73.806706,-3.766372,-3.883671,5.410033
99,147.257516,77.145457,144.631956,74.698261,-2.625560,-2.447196,3.589196
100,145.333182,76.600537,143.240027,74.950826,-2.093155,-1.649710,2.665116
101,143.408848,76.055616,140.533406,74.153117,-2.875442,-1.902500,3.447850
102,141.484514,75.510696,137.725822,72.993347,-3.758692,-2.517348,4.523804
103,139.560180,74.965775,134.876655,72.176991,-4.683524,-2.788784,5.450937
104,158.258600,82.339314,156.093402,79.575926,-2.165198,-2.763388,3.510612
