orig_index,orig_x,orig_y,new_x,new_y,dx,dy,dist
0,144.498689,72.206948,139.022008,68.301631,-5.476680,-3.905317,6.726479
1,142.574355,71.662027,137.769817,68.922090,-4.804538,-2.739937,5.530899
2,140.650021,71.117107,136.420417,68.791928,-4.229604,-2.325179,4.826593
3,120.027266,63.198648,115.459783,61.267096,-4.567483,-1.931552,4.959112
4,118.102932,62.653727,113.442309,60.597416,-4.660623,-2.056311,5.094096
5,68.138695,77.606154,67.915201,83.465442,-0.223494,5.859288,5.863549
6,66.214361,77.061233,66.578466,82.628635,0.364105,5.567401,5.579295
7,64.290027,76.516313,65.167361,81.656318,0.877333,5.140005,5.214342
8,62.365693,75.971393,63.899475,80.867311,1.533782,4.895918,5.130546
9,60.441359,75.426472,62.442274,80.609985,2.000915,5.183513,5.556300
10,58.517025,74.881552,60.766193,80.753163,2.249168,5.871611,6.287653
11,56.592691,74.336631,58.297557,80.731503,1.704867,6.394872,6.618229
12,54.668357,73.791711,55.492852,80.229602,0.824495,6.437892,6.490473
13,52.744023,73.246790,53.204846,79.816357,0.460823,6.569567,6.585709
14,50.819689,72.701870,51.091160,79.759859,0.271471,7.057989,7.063208
15,69.518109,80.075408,72.031272,85.535666,2.513163,5.460258,6.010857
16,67.593775,79.530488,69.750413,85.345773,2.156638,5.815285,6.202308
17,65.669441,78.985568,68.087018,84.834308,2.417577,5.848740,6.328700
18,63.745107,78.440647,66.585072,84.120085,2.839966,5.679438,6.349915
19,61.820773,77.895727,65.309061,83.256414,3.488288,5.360688,6.395711
20,59.896439,77.350806,63.917559,82.564026,4.021120,5.213220,6.583849
21,57.972104,76.805886,62.292736,82.302756,4.320631,5.496870,6.991669
22,56.047770,76.260965,59.748565,82.047490,3.700795,5.786524,6.868752
23,54.123436,75.716045,56.751470,81.765754,2.628034,6.049709,6.595873
24,52.199102,75.171124,54.257734,81.778117,2.058632,6.606992,6.920283
25,68.973189,81.999743,73.872434,86.690023,4.899246,4.690280,6.782429
26,67.048854,81.454822,70.945017,86.911101,3.896163,5.456278,6.704555
27,65.124520,80.909902,68.959503,86.538457,3.834982,5.628555,6.810854
28,63.200186,80.364981,67.136849,85.935380,3.936663,5.570399,6.821045
29,61.275852,79.820061,65.565781,85.061160,4.289929,5.241100,6.772932
30,59.351518,79.275140,64.223305,84.169846,4.871787,4.894706,6.905972
31,57.427184,78.730220,62.604743,84.006040,5.177559,5.275821,7.391982
32,55.502850,78.185299,60.686506,83.573605,5.183657,5.388305,7.476906
33,53.578516,77.640379,58.111873,83.288161,4.533357,5.647782,7.242152
34,68.428268,83.924077,75.046821,88.411328,6.618553,4.487251,7.996290
35,66.503934,83.379156,72.201250,88.200419,5.697316,4.821263,7.463510
36,64.579600,82.834236,69.708412,88.206446,5.128812,5.372211,7.427339
37,62.655266,82.289315,67.563656,87.722285,4.908390,5.432970,7.321848
38,60.730932,81.744395,65.632636,86.840724,4.901705,5.096329,7.071017
39,58.806598,81.199474,63.813407,85.849274,5.006809,4.649799,6.832918
40,91.230704,84.145200,97.989148,87.626146,6.758443,3.480946,7.602207
41,89.306370,83.600279,96.275642,86.363136,6.969271,2.762857,7.496941
42,87.382036,83.055359,94.498791,85.234007,7.116755,2.178649,7.442762
43,85.457702,82.510438,92.626639,84.728966,7.168937,2.218527,7.504366
