orig_index,orig_x,orig_y,new_x,new_y,dx,dy,dist
0,144.498689,72.206948,143.132665,71.842068,-1.366023,-0.364879,1.413915
1,142.574355,71.662027,140.916198,70.938975,-1.658157,-0.723053,1.808947
2,140.650021,71.117107,138.674835,70.336534,-1.975185,-0.780573,2.123829
3,120.027266,63.198648,115.012055,62.122327,-5.015211,-1.076320,5.129406
4,118.102932,62.653727,113.127200,61.243588,-4.975732,-1.410139,5.171692
5,68.138695,77.606154,62.860157,80.820480,-5.278538,3.214326,6.180199
6,66.214361,77.061233,61.919684,79.372280,-4.294677,2.311047,4.877006
7,64.290027,76.516313,60.206239,78.355639,-4.083788,1.839326,4.478889
8,62.365693,75.971393,57.933798,77.939077,-4.431895,1.967684,4.849069
9,60.441359,75.426472,55.199580,77.825427,-5.241779,2.398955,5.764654
10,58.517025,74.881552,53.735399,76.807037,-4.781626,1.925486,5.154750
11,56.592691,74.336631,52.655289,75.477910,-3.937402,1.141279,4.099470
12,54.668357,73.791711,51.161942,74.766049,-3.506415,0.974338,3.639269
13,52.744023,73.246790,50.549283,74.372331,-2.194740,1.125541,2.466521
14,50.819689,72.701870,49.861493,73.208648,-0.958196,0.506778,1.083958
15,69.518109,80.075408,65.142826,82.243871,-4.375283,2.168463,4.883168
16,67.593775,79.530488,62.296646,81.997522,-5.297129,2.467034,5.843443
17,65.669441,78.985568,60.955208,81.055225,-4.714232,2.069657,5.148540
18,63.745107,78.440647,60.076705,79.815835,-3.668402,1.375188,3.917692
19,61.820773,77.895727,58.076923,79.183323,-3.743850,1.287596,3.959080
20,59.896439,77.350806,56.099668,79.075459,-3.796770,1.724653,4.170119
21,57.972104,76.805886,54.125883,78.682566,-3.846222,1.876680,4.279644
22,56.047770,76.260965,52.620859,77.311632,-3.426912,1.050667,3.584358
23,54.123436,75.716045,52.159395,76.485622,-1.964041,0.769577,2.109433
24,52.199102,75.171124,51.320539,75.563259,-0.878563,0.392134,0.962103
25,68.973189,81.999743,64.743198,83.790666,-4.229990,1.790923,4.593498
26,67.048854,81.454822,62.643296,83.313256,-4.405558,1.858434,4.781498
27,65.124520,80.909902,60.887684,82.715866,-4.236836,1.805964,4.605680
28,63.200186,80.364981,59.371540,81.404840,-3.828647,1.039859,3.967347
29,61.275852,79.820061,58.211429,80.412584,-3.064423,0.592523,3.121181
30,59.351518,79.275140,56.691464,80.874768,-2.660054,1.599628,3.103981
31,57.427184,78.730220,55.737596,80.166794,-1.689588,1.436574,2.217759
32,55.502850,78.185299,54.327476,79.130416,-1.175374,0.945117,1.508228
33,53.578516,77.640379,53.306133,77.779938,-0.272382,0.139560,0.306054
34,68.428268,83.924077,68.078877,84.381854,-0.349391,0.457778,0.575877
35,66.503934,83.379156,65.523801,84.075621,-0.980133,0.696464,1.202382
36,64.579600,82.834236,63.577128,83.638110,-1.002472,0.803874,1.284976
37,62.655266,82.289315,61.639665,83.119523,-1.015601,0.830208,1.311751
38,60.730932,81.744395,59.775072,82.471071,-0.955859,0.726676,1.200719
39,58.806598,81.199474,58.091969,81.599245,-0.714629,0.399771,0.818847
40,91.230704,84.145200,91.197586,84.701494,-0.033118,0.556295,0.557280
41,89.306370,83.600279,89.001777,84.743964,-0.304593,1.143685,1.183551
42,87.382036,83.055359,87.201476,84.663077,-0.180561,1.607718,1.617826
43,85.457702,82.510438,85.905301,84.658824,0.447599,2.148386,2.194518
44,83.533368,81.965518,83.729379,84.459713,0.196011,2.494195,2.501885
45,81.609034,81.420597,81.603789,84.452268,-0.005245,3.031671,3.031676
46,79.684700,80.875677,79.153322,84.685181,-0.531378,3.809504,3.846386
47,77.760366,80.330756,75.290571,84.717039,-2.469795,4.386283,5.033822
48,75.836032,79.785836,72.087496,83.929460,-3.748536,4.143624,5.587588
49,73.911698,79.240915,69.581010,83.588849,-4.330688,4.347934,6.136725
50,71.987364,78.695995,67.496730,82.428349,-4.490634,3.732354,5.839200
51,70.063029,78.151074,64.459808,80.862914,-5.603222,2.711840,6.224963
52,84.912782,84.434772,84.962253,84.714098,0.049471,0.279326,0.283673
53,82.988448,83.889852,83.002935,84.469550,0.014487,0.579698,0.579879
54,81.064114,83.344931,81.050715,84.468683,-0.013398,1.123752,1.123831
55,79.139779,82.800011,79.032288,84.738921,-0.107491,1.938910,1.941887
56,77.215445,82.255090,76.843878,84.634002,-0.371567,2.378912,2.407755
57,75.291111,81.710170,73.102197,84.552278,-2.188915,2.842108,3.587328
58,73.366777,81.165249,70.050336,84.914278,-3.316441,3.749028,5.005396
59,71.442443,80.620329,66.696147,83.541670,-4.746296,2.921341,5.573290
60,69.518109,80.075408,65.142826,82.243871,-4.375283,2.168463,4.883168
61,76.670525,84.179424,76.593033,85.035144,-0.077492,0.855719,0.859221
62,74.746191,83.634504,74.345487,84.599933,-0.400704,0.965429,1.045283
63,72.821857,83.089584,71.678399,84.883572,-1.143457,1.793988,2.127413
64,70.897523,82.544663,69.451342,85.009620,-1.446181,2.464956,2.857875
65,68.973189,81.999743,64.743198,83.790666,-4.229990,1.790923,4.593498
66,68.428268,83.924077,68.078877,84.381854,-0.349391,0.457778,0.575877
67,87.926957,81.131025,86.956708,83.663672,-0.970249,2.532647,2.712137
68,86.002623,80.586104,85.266447,84.097676,-0.736176,3.511572,3.587910
69,84.078289,80.041184,82.917203,84.115837,-1.161085,4.074654,4.236853
70,62.910614,74.047058,57.090662,76.758758,-5.819952,2.711700,6.420682
71,60.986280,73.502138,55.286956,76.254424,-5.699324,2.752287,6.329089
72,59.061945,72.957217,54.144158,75.109117,-4.917787,2.151899,5.367988
73,96.935257,56.659602,90.639720,59.879365,-6.295537,3.219763,7.071114
74,95.010923,56.114681,88.766211,58.513133,-6.244712,2.398452,6.689470
75,93.086589,55.569761,87.352587,57.199212,-5.734002,1.629451,5.961031
76,145.588530,68.358280,145.635710,68.789270,0.047180,0.430990,0.433565
77,143.664196,67.813359,143.271974,67.971015,-0.392222,0.157656,0.422721
78,141.739861,67.268439,140.947803,67.223398,-0.792059,-0.045041,0.793338
79,150.271691,73.841709,150.473854,73.760346,0.202163,-0.081364,0.217922
80,148.347357,73.296789,147.818591,73.362388,-0.528766,0.065599,0.532820
81,146.423023,72.751868,145.582827,72.547086,-0.840196,-0.204782,0.864792
82,148.892277,71.372455,149.068526,71.667500,0.176248,0.295046,0.343679
83,146.967943,70.827534,146.818213,70.950103,-0.149730,0.122569,0.193500
84,145.043609,70.282614,144.480215,70.568564,-0.563394,0.285951,0.631807
85,143.119275,69.737693,142.428940,69.800005,-0.690335,0.062311,0.693141
86,141.194941,69.192773,140.259558,69.129078,-0.935383,-0.063695,0.937549
87,153.575439,76.855884,153.678693,76.469582,0.103254,-0.386302,0.399863
88,151.651105,76.310964,151.333991,75.712785,-0.317114,-0.598179,0.677037
89,149.726770,75.766043,148.601472,75.126056,-1.125299,-0.639987,1.294558
90,147.802436,75.221123,145.957026,74.300057,-1.845410,-0.921066,2.062499
91,145.878102,74.676202,143.614112,73.378345,-2.263990,-1.297858,2.609614
92,143.953768,74.131282,141.003134,72.484917,-2.950635,-1.646365,3.378870
93,142.029434,73.586362,138.685689,71.835251,-3.343745,-1.751111,3.774523
94,140.105100,73.041441,136.336286,71.485037,-3.768814,-1.556404,4.077543
95,154.954852,79.325139,154.719148,78.397480,-0.235704,-0.927659,0.957135
96,153.030518,78.780218,151.596020,77.672053,-1.434498,-1.108165,1.812682
97,151.106184,78.235298,149.199058,76.706349,-1.907127,-1.528949,2.444344
98,149.181850,77.690378,146.268580,75.811209,-2.913270,-1.879169,3.466759
99,147.257516,77.145457,143.587999,74.856979,-3.669517,-2.288478,4.324637
100,145.333182,76.600537,141.196482,73.933545,-4.136700,-2.666992,4.921903
101,143.408848,76.055616,138.664833,73.282475,-4.744014,-2.773141,5.495087
102,141.484514,75.510696,136.261571,72.941301,-5.222943,-2.569395,5.820732
103,139.560180,74.965775,133.852395,72.883944,-5.707784,-2.081832,6.075592
104,158.258600,82.339314,157.726504,80.960380,-0.532096,-1.378934,1.478034
105,156.334266,81.794394,155.333557,80.137449,-1.000709,-1.656945,1.935687
106,154.409932,81.249473,152.130921,79.220599,-2.279011,-2.028874,3.051266
107,152.485598,80.704553,149.038468,78.287890,-3.447129,-2.416663,4.209864
108,150.561264,80.159632,146.670472,77.240331,-3.890791,-2.919301,4.864214
109,148.636930,79.614712,143.873612,76.379655,-4.763317,-3.235057,5.758019
110,146.712595,79.069791,141.262187,75.579019,-5.450409,-3.490772,6.472437
111,144.788261,78.524871,138.993517,74.938944,-5.794744,-3.585926,6.814538
