orig_index,orig_x,orig_y,new_x,new_y,dx,dy,dist
0,144.498689,72.206948,139.818112,68.600600,-4.680577,-3.606348,5.908769
1,142.574355,71.662027,138.465689,69.155578,-4.108665,-2.506450,4.812839
2,140.650021,71.117107,136.982255,68.903597,-3.667765,-2.213510,4.283938
3,120.027266,63.198648,115.784002,62.127395,-4.243264,-1.071253,4.376399
4,118.102932,62.653727,113.974998,61.220306,-4.127934,-1.433421,4.369729
5,68.138695,77.606154,68.361307,83.214316,0.222611,5.608162,5.612579
6,66.214361,77.061233,66.541834,82.378443,0.327473,5.317210,5.327284
7,64.290027,76.516313,64.869016,81.390331,0.578989,4.874018,4.908287
8,62.365693,75.971393,63.256028,80.759414,0.890334,4.788022,4.870097
9,60.441359,75.426472,61.661233,80.796559,1.219874,5.370087,5.506898
10,58.517025,74.881552,59.965529,81.042627,1.448504,6.161076,6.329062
11,56.592691,74.336631,57.837589,81.027870,1.244899,6.691239,6.806060
12,54.668357,73.791711,55.347976,80.564685,0.679619,6.772975,6.806987
13,52.744023,73.246790,53.095187,80.007687,0.351165,6.760897,6.770011
14,50.819689,72.701870,50.797638,80.061994,-0.022051,7.360125,7.360158
15,69.518109,80.075408,72.123047,85.623518,2.604938,5.548110,6.129211
16,67.593775,79.530488,69.774598,85.344544,2.180823,5.814056,6.209608
17,65.669441,78.985568,67.939727,84.719504,2.270286,5.733936,6.167027
18,63.745107,78.440647,66.284008,83.951805,2.538901,5.511158,6.067857
19,61.820773,77.895727,64.722906,83.199305,2.902133,5.303579,6.045686
20,59.896439,77.350806,63.062691,82.813845,3.166253,5.463038,6.314265
21,57.972104,76.805886,61.266719,82.871496,3.294615,6.065610,6.902616
22,56.047770,76.260965,59.020166,82.739961,2.972396,6.478995,7.128290
23,54.123436,75.716045,56.306071,82.345403,2.182634,6.629359,6.979419
24,52.199102,75.171124,53.587239,82.291768,1.388137,7.120644,7.254688
25,68.973189,81.999743,73.573105,87.411285,4.599916,5.411542,7.102395
26,67.048854,81.454822,70.834427,87.333550,3.785572,5.878728,6.992138
27,65.124520,80.909902,68.806799,86.782175,3.682279,5.872273,6.931289
28,63.200186,80.364981,66.897188,86.116409,3.697001,5.751428,6.837159
29,61.275852,79.820061,65.178355,85.384696,3.902503,5.564635,6.796668
30,59.351518,79.275140,63.566828,84.728627,4.215310,5.453487,6.892703
31,57.427184,78.730220,61.707231,84.944877,4.280047,6.214657,7.545911
32,55.502850,78.185299,59.602723,84.768447,4.099873,6.583147,7.755436
33,53.578516,77.640379,56.972513,84.336930,3.393997,6.696551,7.507530
34,68.428268,83.924077,73.927975,89.712468,5.499707,5.788392,7.984501
35,66.503934,83.379156,71.330165,89.235849,4.826231,5.856692,7.589028
36,64.579600,82.834236,69.152594,88.900281,4.572995,6.066046,7.596656
37,62.655266,82.289315,67.162695,88.332937,4.507429,6.043622,7.539382
38,60.730932,81.744395,65.221159,87.598003,4.490227,5.853608,7.377457
39,58.806598,81.199474,63.127413,86.923410,4.320816,5.723935,7.171672
40,91.230704,84.145200,97.895815,88.382396,6.665110,4.237196,7.897945
41,89.306370,83.600279,95.975299,87.269580,6.668929,3.669301,7.611726
42,87.382036,83.055359,94.101458,86.315714,6.719422,3.260356,7.468638
43,85.457702,82.510438,92.180521,85.477139,6.722819,2.966701,7.348306
44,83.533368,81.965518,90.125447,85.555519,6.592079,3.590001,7.506238
45,81.609034,81.420597,87.779584,85.689339,6.170550,4.268742,7.503189
46,79.684700,80.875677,85.065598,85.641327,5.380898,4.765650,7.187871
47,77.760366,80.330756,82.227325,85.385211,4.466959,5.054455,6.745461
48,75.836032,79.785836,79.610660,85.374108,3.774629,5.588272,6.743635
49,73.911698,79.240915,76.919026,85.220230,3.007328,5.979314,6.692998
50,71.987364,78.695995,74.173042,84.900390,2.185678,6.204395,6.578124
51,70.063029,78.151074,70.584602,83.859142,0.521572,5.708068,5.731847
52,84.912782,84.434772,92.208912,87.589786,7.296131,3.155014,7.949065
53,82.988448,83.889852,89.703176,87.517352,6.714728,3.627500,7.631929
54,81.064114,83.344931,87.339975,87.657040,6.275862,4.312109,7.614507
55,79.139779,82.800011,85.179535,87.486378,6.039756,4.686367,7.644651
56,77.215445,82.255090,82.828447,86.993949,5.613002,4.738859,7.345922
57,75.291111,81.710170,80.511447,86.897244,5.220336,5.187074,7.359188
58,73.366777,81.165249,78.086316,86.709684,4.719539,5.544434,7.281126
59,71.442443,80.620329,75.554359,86.407418,4.111916,5.787089,7.099173
60,69.518109,80.075408,72.123047,85.623518,2.604938,5.548110,6.129211
61,76.670525,84.179424,83.341181,89.057218,6.670656,4.877794,8.263808
62,74.746191,83.634504,80.812278,88.883564,6.066087,5.249060,8.021848
63,72.821857,83.089584,78.456067,88.703596,5.634211,5.614012,7.953708
64,70.897523,82.544663,76.266539,88.283507,5.369016,5.738844,7.858795
65,68.973189,81.999743,73.573105,87.411285,4.599916,5.411542,7.102395
66,68.428268,83.924077,73.927975,89.712468,5.499707,5.788392,7.984501
67,87.926957,81.131025,93.734083,84.214722,5.807127,3.083697,6.575098
68,86.002623,80.586104,91.665188,83.835446,5.662566,3.249342,6.528619
69,84.078289,80.041184,89.394844,84.042476,5.316556,4.001292,6.654029
70,62.910614,74.047058,61.436970,78.460115,-1.473643,4.413057,4.652601
71,60.986280,73.502138,59.846705,79.002128,-1.139575,5.499990,5.616807
72,59.061945,72.957217,58.136313,79.208195,-0.925633,6.250978,6.319139
73,96.935257,56.659602,90.727753,59.689795,-6.207504,3.030193,6.907617
74,95.010923,56.114681,89.132137,58.317941,-5.878786,2.203259,6.278095
75,93.086589,55.569761,88.237343,56.828989,-4.849246,1.259228,5.010074
76,145.588530,68.358280,141.155191,64.074953,-4.433338,-4.283326,6.164525
77,143.664196,67.813359,138.295728,63.533973,-5.368467,-4.279386,6.865391
78,141.739861,67.268439,135.690943,64.010361,-6.048918,-3.258077,6.870552
79,150.271691,73.841709,146.568293,68.595701,-3.703398,-5.246008,6.421508
80,148.347357,73.296789,143.511647,68.546965,-4.835710,-4.749824,6.778268
81,146.423023,72.751868,141.435339,68.348644,-4.987683,-4.403225,6.653223
82,148.892277,71.372455,144.994707,66.621409,-3.897570,-4.751046,6.145200
83,146.967943,70.827534,142.412893,66.091948,-4.555050,-4.735587,6.570712
84,145.043609,70.282614,139.565039,66.100776,-5.478570,-4.181838,6.892205
85,143.119275,69.737693,137.605756,66.222420,-5.513519,-3.515273,6.538810
86,141.194941,69.192773,135.988301,66.610885,-5.206640,-2.581888,5.811647
87,153.575439,76.855884,149.933910,71.367072,-3.641529,-5.488812,6.586941
88,151.651105,76.310964,147.486412,70.798997,-4.164692,-5.511967,6.908432
89,149.726770,75.766043,145.107173,70.762294,-4.619597,-5.003749,6.810153
90,147.802436,75.221123,143.336499,71.079504,-4.465937,-4.141619,6.090780
91,145.878102,74.676202,141.811022,71.287705,-4.067080,-3.388497,5.293680
92,143.953768,74.131282,140.357952,71.128460,-3.595816,-3.002822,4.684745
93,142.029434,73.586362,138.757079,71.326232,-3.272355,-2.260130,3.976995
94,140.105100,73.041441,136.785707,71.215671,-3.319393,-1.825770,3.788378
95,154.954852,79.325139,151.339442,73.613414,-3.615410,-5.711725,6.759807
96,153.030518,78.780218,148.629780,73.470006,-4.400739,-5.310212,6.896728
97,151.106184,78.235298,146.606868,73.237368,-4.499316,-4.997930,6.724816
98,149.181850,77.690378,144.916458,73.587377,-4.265392,-4.103000,5.918461
99,147.257516,77.145457,143.272928,73.677798,-3.984588,-3.467659,5.282197
100,145.333182,76.600537,141.587436,73.576149,-3.745746,-3.024388,4.814305
101,143.408848,76.055616,139.613166,73.289848,-3.795682,-2.765768,4.696454
102,141.484514,75.510696,137.411071,72.903435,-4.073442,-2.607261,4.836397
103,139.560180,74.965775,134.922395,72.693612,-4.637785,-2.272163,5.164472
104,158.258600,82.339314,154.756184,76.097728,-3.502416,-6.241586,7.157116
105,156.334266,81.794394,152.328991,75.810578,-4.005275,-5.983815,7.200574
106,154.409932,81.249473,149.953153,75.829141,-4.456778,-5.420333,7.017327
107,152.485598,80.704553,148.013942,75.975315,-4.471656,-4.729237,6.508563
108,150.561264,80.159632,146.249051,75.949851,-4.312212,-4.209781,6.026395
109,148.636930,79.614712,144.457292,75.820377,-4.179638,-3.794334,5.645029
110,146.712595,79.069791,142.361710,75.607274,-4.350886,-3.462517,5.560507
111,144.788261,78.524871,139.986601,75.083349,-4.801660,-3.441522,5.907623
112,142.863927,77.979950,137.586491,74.597679,-5.277436,-3.382271,6.268261
113,140.939593,77.435030,135.221149,74.312059,-5.718444,-3.122971,6.515639
114,139.015259,76.890109,132.868805,74.329613,-6.146454,-2.560497,6.658456
115,159.638014,84.808569,156.477027,78.239474,-3.160986,-6.569094,7.290051
116,157.713679,84.263648,153.719683,78.283709,-3.993997,-5.979939,7.191084
117,155.789345,83.718728,151.455569,78.141279,-4.333776,-5.577448,7.063253
118,153.865011,83.173807,149.452125,78.299392,-4.412886,-4.874415,6.575218
119,151.940677,82.628887,147.508945,78.190206,-4.431732,-4.438681,6.272331
120,150.016343,82.083966,145.396432,77.966861,-4.619911,-4.117105,6.188225
121,148.092009,81.539046,143.053352,77.529950,-5.038657,-4.009096,6.439015
122,146.167675,80.994125,140.628569,76.995641,-5.539106,-3.998484,6.831513
123,144.243341,80.449205,138.342752,76.541282,-5.900589,-3.907923,7.077345
124,142.319007,79.904284,136.195507,76.206114,-6.123499,-3.698171,7.153580
125,140.394673,79.359364,134.080360,76.020724,-6.314313,-3.338640,7.142623
126,138.470339,78.814443,131.953848,76.126029,-6.516491,-2.688414,7.049271
127,161.017427,87.277823,158.436261,80.437547,-2.581166,-6.840276,7.311073
128,159.093093,86.732903,155.655174,80.385169,-3.437919,-6.347734,7.218934
129,157.168759,86.187982,153.267096,80.438777,-3.901663,-5.749205,6.948117
130,155.244425,85.643062,151.100746,80.385347,-4.143679,-5.257714,6.694299
131,153.320091,85.098141,148.926757,80.298979,-4.393334,-4.799163,6.506408
