orig_index,orig_x,orig_y,new_x,new_y,dx,dy,dist
0,144.498689,72.206948,139.818115,68.600621,-4.680574,-3.606327,5.908753
1,142.574355,71.662027,138.465693,69.155604,-4.108662,-2.506424,4.812822
2,140.650021,71.117107,136.982256,68.903614,-3.667764,-2.213493,4.283929
3,120.027266,63.198648,115.784002,62.127395,-4.243264,-1.071253,4.376399
4,118.102932,62.653727,113.974998,61.220306,-4.127934,-1.433421,4.369729
5,68.138695,77.606154,68.385830,82.330963,0.247135,4.724809,4.731268
6,66.214361,77.061233,66.463283,81.731580,0.248922,4.670347,4.676976
7,64.290027,76.516313,64.827873,80.985077,0.537846,4.468764,4.501014
8,62.365693,75.971393,63.236795,80.452164,0.871102,4.480772,4.564661
9,60.441359,75.426472,61.661293,80.431670,1.219934,5.005198,5.151722
10,58.517025,74.881552,60.148514,80.585884,1.631489,5.704333,5.933057
11,56.592691,74.336631,58.191088,80.482089,1.598397,6.145458,6.349924
12,54.668357,73.791711,55.936216,79.589854,1.267859,5.798144,5.935144
13,52.744023,73.246790,52.923284,77.743156,0.179262,4.496366,4.499938
14,50.819689,72.701870,50.468413,74.412770,-0.351275,1.710901,1.746590
15,69.518109,80.075408,71.891506,83.837792,2.373397,3.762384,4.448432
16,67.593775,79.530488,69.743063,83.682237,2.149288,4.151749,4.675090
17,65.669441,78.985568,67.728423,83.096455,2.058982,4.110888,4.597696
18,63.745107,78.440647,66.177415,82.824891,2.432308,4.384244,5.013753
19,61.820773,77.895727,64.687404,82.340247,2.866632,4.444520,5.288794
20,59.896439,77.350806,63.145625,82.040812,3.249187,4.690005,5.705556
21,57.972104,76.805886,61.466757,82.126587,3.494653,5.320701,6.365725
22,56.047770,76.260965,58.177432,81.577856,2.129662,5.316891,5.727546
23,54.123436,75.716045,55.171001,79.758679,1.047565,4.042635,4.176157
24,52.199102,75.171124,51.963363,76.537873,-0.235739,1.366749,1.386930
25,68.973189,81.999743,71.034793,84.970578,2.061605,2.970836,3.616086
26,67.048854,81.454822,68.468070,84.479078,1.419215,3.024256,3.340703
