orig_index,orig_x,orig_y,new_x,new_y,dx,dy,dist
0,144.498689,72.206948,141.003636,77.293928,-3.495053,5.086980,6.171933
1,142.574355,71.662027,138.350864,76.694688,-4.223491,5.032660,6.570049
2,140.650021,71.117107,136.175308,75.865791,-4.474712,4.748684,6.524803
3,120.027266,63.198648,121.548492,68.371637,1.521226,5.172989,5.392026
4,118.102932,62.653727,117.614190,67.059179,-0.488742,4.405452,4.432479
5,68.138695,77.606154,72.005275,77.185306,3.866580,-0.420848,3.889416
6,66.214361,77.061233,70.501441,77.534406,4.287079,0.473172,4.313113
7,64.290027,76.516313,71.188920,71.587511,6.898893,-4.928802,8.478668
8,62.365693,75.971393,62.828743,71.743229,0.463050,-4.228163,4.253443
9,60.441359,75.426472,60.445469,72.720516,0.004110,-2.705956,2.705959
10,58.517025,74.881552,58.154968,73.396868,-0.362057,-1.484684,1.528192
11,56.592691,74.336631,55.925935,74.033814,-0.666756,-0.302817,0.732299
12,54.668357,73.791711,53.721455,74.648565,-0.946902,0.856854,1.277036
13,52.744023,73.246790,51.950694,74.813416,-0.793329,1.566626,1.756043
14,50.819689,72.701870,50.224842,74.134795,-0.594847,1.432926,1.551489
15,69.518109,80.075408,72.448620,79.249608,2.930511,-0.825800,3.044641
16,67.593775,79.530488,70.636028,79.093622,3.042253,-0.436866,3.073460
17,65.669441,78.985568,68.434640,80.341260,2.765200,1.355693,3.079648
18,63.745107,78.440647,68.630216,78.668754,4.885110,0.228107,4.890432
19,61.820773,77.895727,62.454439,73.039124,0.633666,-4.856603,4.897767
20,59.896439,77.350806,59.620917,73.877367,-0.275522,-3.473439,3.484349
21,57.972104,76.805886,57.372505,74.605189,-0.599600,-2.200696,2.280918
22,56.047770,76.260965,55.312651,75.244602,-0.735120,-1.016363,1.254350
23,54.123436,75.716045,53.422588,75.942393,-0.700848,0.226348,0.736493
24,52.199102,75.171124,51.231601,75.667771,-0.967502,0.496647,1.087528
25,68.973189,81.999743,70.396873,80.735061,1.423684,-1.264682,1.904284
26,67.048854,81.454822,68.021848,81.701553,0.972994,0.246731,1.003789
27,65.124520,80.909902,66.592448,82.664856,1.467927,1.754954,2.287941
28,63.200186,80.364981,65.920179,81.237863,2.719993,0.872882,2.856621
29,61.275852,79.820061,66.574750,79.550472,5.298897,-0.269588,5.305751
30,59.351518,79.275140,58.973044,75.305428,-0.378474,-3.969713,3.987714
31,57.427184,78.730220,56.972349,76.121075,-0.454835,-2.609145,2.648493
32,55.502850,78.185299,55.046826,76.834841,-0.456024,-1.350458,1.425375
33,53.578516,77.640379,52.633234,77.295557,-0.945282,-0.344822,1.006211
34,68.428268,83.924077,69.549992,83.017183,1.121724,-0.906894,1.442470
35,66.503934,83.379156,67.336847,84.376451,0.832913,0.997295,1.299362
36,64.579600,82.834236,65.134980,84.049493,0.555380,1.215258,1.336150
37,62.655266,82.289315,63.741961,83.143244,1.086696,0.853929,1.382064
38,60.730932,81.744395,64.218953,81.128695,3.488021,-0.615700,3.541946
39,58.806598,81.199474,61.334079,74.341153,2.527481,-6.858321,7.309222
40,91.230704,84.145200,91.902731,77.254928,0.672027,-6.890271,6.922966
41,89.306370,83.600279,84.984653,78.732517,-4.321717,-4.867762,6.509404
42,87.382036,83.055359,83.423545,80.307624,-3.958492,-2.747735,4.818683
43,85.457702,82.510438,81.951591,80.894111,-3.506111,-1.616328,3.860742
44,83.533368,81.965518,80.734667,81.533465,-2.798701,-0.432053,2.831854
45,81.609034,81.420597,80.034164,80.360579,-1.574870,-1.060018,1.898381
46,79.684700,80.875677,78.805664,80.113298,-0.879036,-0.762378,1.163583
47,77.760366,80.330756,77.697653,79.579281,-0.062713,-0.751475,0.754087
48,75.836032,79.785836,76.554700,79.091963,0.718668,-0.693873,0.998972
49,73.911698,79.240915,75.449757,78.574191,1.538060,-0.666724,1.676350
50,71.987364,78.695995,74.440675,77.797038,2.453312,-0.898957,2.612826
51,70.063029,78.151074,73.269406,77.254779,3.206377,-0.896295,3.329294
52,84.912782,84.434772,82.532550,82.787652,-2.380231,-1.647120,2.894565
53,82.988448,83.889852,81.054594,83.997140,-1.933854,0.107288,1.936827
54,81.064114,83.344931,79.854644,82.847274,-1.209470,-0.497657,1.307853
55,79.139779,82.800011,78.917458,81.660303,-0.222322,-1.139708,1.161190
56,77.215445,82.255090,77.459175,81.057699,0.243730,-1.197391,1.221945
57,75.291111,81.710170,76.198920,80.397818,0.907808,-1.312352,1.595739
58,73.366777,81.165249,74.870013,79.937274,1.503236,-1.227975,1.941041
59,71.442443,80.620329,73.930074,78.967090,2.487631,-1.653239,2.986889
60,69.518109,80.075408,72.448620,79.249608,2.930511,-0.825800,3.044641
61,76.670525,84.179424,77.543322,82.711238,0.872797,-1.468186,1.708024
62,74.746191,83.634504,75.530337,81.808601,0.784146,-1.825903,1.987160
63,72.821857,83.089584,73.795349,80.997429,0.973492,-2.092155,2.307553
64,70.897523,82.544663,72.238968,81.513439,1.341445,-1.031224,1.692010
65,68.973189,81.999743,70.396873,80.735061,1.423684,-1.264682,1.904284
66,68.428268,83.924077,69.549992,83.017183,1.121724,-0.906894,1.442470
67,87.926957,81.131025,84.928807,77.201405,-2.998150,-3.929620,4.942754
68,86.002623,80.586104,82.995562,78.626022,-3.007060,-1.960082,3.589476
69,84.078289,80.041184,81.592244,79.332136,-2.486045,-0.709047,2.585182
70,62.910614,74.047058,64.227343,71.222999,1.316729,-2.824060,3.115941
71,60.986280,73.502138,61.164504,71.664182,0.178225,-1.837956,1.846577
72,59.061945,72.957217,59.053097,72.238062,-0.008849,-0.719155,0.719210
73,96.935257,56.659602,98.221219,58.381081,1.285962,1.721479,2.148764
74,95.010923,56.114681,97.125815,58.617408,2.114892,2.502726,3.276646
75,93.086589,55.569761,95.790084,58.999822,2.703495,3.430061,4.367402
76,145.588530,68.358280,141.368716,75.362855,-4.219814,7.004576,8.177463
77,143.664196,67.813359,138.384002,74.124499,-5.280193,6.311140,8.228665
78,141.739861,67.268439,134.897945,73.241542,-6.841917,5.973103,9.082389
79,150.271691,73.841709,147.061719,79.413951,-3.209972,5.572241,6.430692
80,148.347357,73.296789,144.519517,78.884983,-3.827840,5.588194,6.773498
81,146.423023,72.751868,142.674562,78.016877,-3.748461,5.265008,6.463070
82,148.892277,71.372455,145.255099,77.775285,-3.637178,6.402831,7.363783
83,146.967943,70.827534,143.058021,76.732203,-3.909922,5.904669,7.081850
84,145.043609,70.282614,140.045052,76.233417,-4.998557,5.950803,7.771591
85,143.119275,69.737693,138.192571,75.512159,-4.926704,5.774465,7.590577
86,141.194941,69.192773,136.073160,74.527143,-5.121781,5.334370,7.395143
87,153.575439,76.855884,150.365802,81.729993,-3.209636,4.874108,5.835983
88,151.651105,76.310964,148.480926,80.781341,-3.170178,4.470377,5.480356
89,149.726770,75.766043,146.045005,80.433186,-3.681765,4.667143,5.944545
90,147.802436,75.221123,144.482017,80.019855,-3.320419,4.798732,5.835496
91,145.878102,74.676202,142.652546,79.128319,-3.225556,4.452117,5.497777
92,143.953768,74.131282,140.746158,78.387960,-3.207610,4.256678,5.329922
93,142.029434,73.586362,138.870482,77.671353,-3.158952,4.084991,5.163926
94,140.105100,73.041441,136.594331,76.974433,-3.510769,3.932992,5.271994
95,154.954852,79.325139,152.063586,83.257733,-2.891266,3.932594,4.881057
96,153.030518,78.780218,149.930092,83.016786,-3.100426,4.236568,5.249871
97,151.106184,78.235298,148.152980,82.121370,-2.953204,3.886071,4.880878
98,149.181850,77.690378,146.681206,81.538879,-2.500644,3.848501,4.589573
99,147.257516,77.145457,144.504796,81.119633,-2.752720,3.974176,4.834412
100,145.333182,76.600537,142.899889,80.181776,-2.433293,3.581239,4.329687
101,143.408848,76.055616,140.987230,79.442350,-2.421618,3.386734,4.163436
102,141.484514,75.510696,139.132198,78.674457,-2.352315,3.163761,3.942432
103,139.560180,74.965775,137.108049,78.053833,-2.452130,3.088058,3.943228
104,158.258600,82.339314,155.041304,85.456167,-3.217296,3.116853,4.479482
105,156.334266,81.794394,153.356670,84.689543,-2.977596,2.895150,4.153068
106,154.409932,81.249473,151.401400,84.532667,-3.008532,3.283194,4.453159
