orig_index,orig_x,orig_y,new_x,new_y,dx,dy,dist
0,144.498689,72.206948,140.171512,78.195470,-4.327176,5.988522,7.388292
1,142.574355,71.662027,138.323347,77.239682,-4.251008,5.577655,7.012938
2,140.650021,71.117107,136.476022,76.178622,-4.173998,5.061515,6.560579
3,120.027266,63.198648,121.817083,68.939881,1.789817,5.741233,6.013751
4,118.102932,62.653727,117.523621,67.723506,-0.579311,5.069779,5.102770
5,68.138695,77.606154,72.599891,79.090320,4.461196,1.484166,4.701597
6,66.214361,77.061233,71.176267,78.728640,4.961906,1.667406,5.234573
7,64.290027,76.516313,69.035937,78.942822,4.745910,2.426509,5.330254
8,62.365693,75.971393,62.364352,71.788767,-0.001341,-4.182625,4.182625
9,60.441359,75.426472,60.217930,72.748264,-0.223429,-2.678209,2.687512
10,58.517025,74.881552,57.866667,73.124337,-0.650358,-1.757214,1.873704
11,56.592691,74.336631,56.126065,73.691077,-0.466626,-0.645555,0.796543
12,54.668357,73.791711,54.706921,73.742791,0.038564,-0.048920,0.062292
13,52.744023,73.246790,52.342242,75.082966,-0.401780,1.836176,1.879620
14,50.819689,72.701870,50.534075,74.658985,-0.285614,1.957115,1.977846
15,69.518109,80.075408,73.768498,78.596759,4.250389,-1.478649,4.500246
16,67.593775,79.530488,69.412572,80.398377,1.818797,0.867889,2.015255
17,65.669441,78.985568,67.941767,80.694714,2.272326,1.709147,2.843351
18,63.745107,78.440647,67.137023,79.799464,3.391917,1.358817,3.653968
19,61.820773,77.895727,61.581695,72.911973,-0.239078,-4.983754,4.989485
20,59.896439,77.350806,59.389725,73.735855,-0.506714,-3.614951,3.650292
21,57.972104,76.805886,57.082036,74.061306,-0.890068,-2.744580,2.885297
22,56.047770,76.260965,55.227745,74.726235,-0.820026,-1.534730,1.740068
23,54.123436,75.716045,53.734909,75.029492,-0.388527,-0.686552,0.788865
24,52.199102,75.171124,51.423416,75.884542,-0.775686,0.713418,1.053876
25,68.973189,81.999743,70.793511,80.258484,1.820323,-1.741258,2.519038
26,67.048854,81.454822,68.399512,81.540566,1.350658,0.085744,1.353377
27,65.124520,80.909902,67.204128,82.391055,2.079608,1.481153,2.553152
28,63.200186,80.364981,66.013451,82.237093,2.813265,1.872112,3.379240
29,61.275852,79.820061,65.915317,80.637800,4.639465,0.817739,4.710980
30,59.351518,79.275140,58.231253,74.519926,-1.120265,-4.755214,4.885392
31,57.427184,78.730220,56.441046,75.338463,-0.986138,-3.391757,3.532207
32,55.502850,78.185299,54.767780,75.975256,-0.735070,-2.210043,2.329081
33,53.578516,77.640379,53.094138,76.386548,-0.484377,-1.253831,1.344141
34,68.428268,83.924077,69.523391,82.503955,1.095123,-1.420122,1.793333
35,66.503934,83.379156,67.597537,83.898144,1.093603,0.518988,1.210503
36,64.579600,82.834236,65.624549,84.141897,1.044949,1.307662,1.673887
37,62.655266,82.289315,64.933813,83.443278,2.278548,1.153963,2.554097
38,60.730932,81.744395,63.616826,83.239502,2.885894,1.495108,3.250189
39,58.806598,81.199474,64.530341,81.506943,5.723743,0.307469,5.731996
40,91.230704,84.145200,92.197128,75.870316,0.966423,-8.274884,8.331127
41,89.306370,83.600279,81.650383,79.525311,-7.655988,-4.074968,8.672918
42,87.382036,83.055359,81.467152,81.587759,-5.914885,-1.467600,6.094236
43,85.457702,82.510438,80.384747,80.740403,-5.072955,-1.770036,5.372885
44,83.533368,81.965518,80.137542,79.695466,-3.395826,-2.270052,4.084700
45,81.609034,81.420597,79.057388,79.465796,-2.551646,-1.954801,3.214365
46,79.684700,80.875677,78.314746,79.122796,-1.369954,-1.752881,2.224717
47,77.760366,80.330756,77.458341,79.250315,-0.302025,-1.080441,1.121861
48,75.836032,79.785836,76.885068,78.455213,1.049036,-1.330623,1.694413
49,73.911698,79.240915,76.095893,78.371391,2.184195,-0.869524,2.350911
50,71.987364,78.695995,75.404964,76.988099,3.417600,-1.707896,3.820589
51,70.063029,78.151074,74.630473,77.975642,4.567443,-0.175433,4.570811
