orig_index,orig_x,orig_y,new_x,new_y,dx,dy,dist
0,144.498689,72.206948,146.080635,70.154483,1.581946,-2.052465,2.591364
1,142.574355,71.662027,144.644957,69.229506,2.070603,-2.432521,3.194457
2,140.650021,71.117107,143.307520,68.073044,2.657499,-3.044063,4.040869
3,120.027266,63.198648,121.872418,68.974970,1.845152,5.776322,6.063867
4,118.102932,62.653727,117.456938,66.527334,-0.645994,3.873607,3.927103
5,68.138695,77.606154,69.862247,81.268422,1.723552,3.662268,4.047572
6,66.214361,77.061233,69.104594,79.800089,2.890233,2.738856,3.981806
7,64.290027,76.516313,65.960080,80.400128,1.670053,3.883816,4.227659
8,62.365693,75.971393,58.387199,73.037363,-3.978494,-2.934030,4.943374
9,60.441359,75.426472,56.691994,73.836076,-3.749365,-1.590396,4.072726
10,58.517025,74.881552,55.445339,74.725671,-3.071686,-0.155880,3.075638
11,56.592691,74.336631,54.201318,75.143325,-2.391373,0.806694,2.523771
12,54.668357,73.791711,51.810675,74.383728,-2.857682,0.592018,2.918361
13,52.744023,73.246790,50.668126,74.623125,-2.075897,1.376335,2.490712
14,50.819689,72.701870,50.202163,74.109220,-0.617525,1.407351,1.536871
15,69.518109,80.075408,68.025168,82.718072,-1.492941,2.642663,3.035217
16,67.593775,79.530488,68.540575,81.428746,0.946800,1.898258,2.121277
17,65.669441,78.985568,67.434667,80.796343,1.765226,1.810775,2.528820
18,63.745107,78.440647,64.093068,81.234751,0.347962,2.794104,2.815687
19,61.820773,77.895727,62.084611,81.684016,0.263838,3.788289,3.797466
20,59.896439,77.350806,54.592992,79.026647,-5.303447,1.675841,5.561923
21,57.972104,76.805886,54.403942,76.530830,-3.568163,-0.275056,3.578748
22,56.047770,76.260965,53.072578,75.664492,-2.975192,-0.596473,3.034394
23,54.123436,75.716045,51.604878,76.141428,-2.518558,0.425383,2.554229
24,52.199102,75.171124,51.094049,75.340898,-1.105053,0.169774,1.118019
25,68.973189,81.999743,66.598332,83.104902,-2.374856,1.105159,2.619412
26,67.048854,81.454822,65.994684,81.638806,-1.054170,0.183984,1.070105
27,65.124520,80.909902,65.111419,82.752085,-0.013101,1.842184,1.842230
28,63.200186,80.364981,64.009721,82.659575,0.809534,2.294594,2.433210
29,61.275852,79.820061,62.397956,83.326892,1.122104,3.506831,3.681981
30,59.351518,79.275140,57.212971,81.140923,-2.138547,1.865783,2.838050
31,57.427184,78.730220,53.694826,78.054097,-3.732358,-0.676123,3.793104
32,55.502850,78.185299,52.823903,77.628756,-2.678947,-0.556543,2.736146
33,53.578516,77.640379,52.155519,76.850006,-1.422997,-0.790373,1.627762
34,68.428268,83.924077,67.981645,84.485215,-0.446623,0.561138,0.717181
35,66.503934,83.379156,66.159612,84.143104,-0.344322,0.763948,0.837958
36,64.579600,82.834236,65.012052,83.979361,0.432453,1.145125,1.224062
37,62.655266,82.289315,63.293974,83.626957,0.638708,1.337642,1.482307
38,60.730932,81.744395,61.034319,82.929054,0.303387,1.184660,1.222891
39,58.806598,81.199474,59.785724,82.398885,0.979126,1.199410,1.548313
40,91.230704,84.145200,91.229477,84.735374,-0.001227,0.590174,0.590175
41,89.306370,83.600279,87.250145,84.748833,-2.056225,1.148554,2.355258
42,87.382036,83.055359,85.646614,84.849347,-1.735423,1.793988,2.496014
43,85.457702,82.510438,82.748912,83.931653,-2.708790,1.421215,3.058986
44,83.533368,81.965518,81.567858,83.327440,-1.965510,1.361922,2.391247
45,81.609034,81.420597,78.897192,79.773253,-2.711842,-1.647344,3.172984
46,79.684700,80.875677,78.499140,78.764455,-1.185560,-2.111221,2.421323
47,77.760366,80.330756,77.696716,79.572879,-0.063649,-0.757878,0.760546
48,75.836032,79.785836,76.816207,79.167036,0.980176,-0.618800,1.159162
49,73.911698,79.240915,76.054417,78.638625,2.142720,-0.602290,2.225759
50,71.987364,78.695995,75.028641,78.005774,3.041277,-0.690221,3.118617
51,70.063029,78.151074,74.687419,79.182256,4.624390,1.031182,4.737965
52,84.912782,84.434772,84.249630,84.895455,-0.663152,0.460683,0.807465
53,82.988448,83.889852,81.991351,84.941349,-0.997097,1.051497,1.449085
54,81.064114,83.344931,80.628147,84.928150,-0.435966,1.583219,1.642147
55,79.139779,82.800011,80.628991,83.135114,1.489211,0.335103,1.526448
56,77.215445,82.255090,78.545076,81.263195,1.329631,-0.991896,1.658848
57,75.291111,81.710170,77.262030,80.876739,1.970918,-0.833431,2.139889
58,73.366777,81.165249,75.718193,80.242482,2.351415,-0.922767,2.525996
59,71.442443,80.620329,69.622711,82.532960,-1.819732,1.912631,2.639996
60,69.518109,80.075408,68.025168,82.718072,-1.492941,2.642663,3.035217
61,76.670525,84.179424,79.184455,84.469791,2.513930,0.290366,2.530644
62,74.746191,83.634504,79.463826,82.620649,4.717635,-1.013855,4.825348
63,72.821857,83.089584,70.578178,83.363485,-2.243678,0.273902,2.260335
64,70.897523,82.544663,69.730116,84.563504,-1.167407,2.018841,2.332071
65,68.973189,81.999743,66.598332,83.104902,-2.374856,1.105159,2.619412
66,68.428268,83.924077,67.981645,84.485215,-0.446623,0.561138,0.717181
67,87.926957,81.131025,84.198663,83.407088,-3.728293,2.276064,4.368139
68,86.002623,80.586104,81.821523,81.784341,-4.181099,1.198237,4.349410
69,84.078289,80.041184,79.549441,80.981917,-4.528848,0.940734,4.625521
70,62.910614,74.047058,61.929290,72.271350,-0.981324,-1.775708,2.028826
71,60.986280,73.502138,59.914564,72.247884,-1.071715,-1.254254,1.649766
72,59.061945,72.957217,56.521053,72.284286,-2.540892,-0.672932,2.628492
