orig_index,orig_x,orig_y,new_x,new_y,dx,dy,dist
0,144.498689,72.206948,143.132654,71.841921,-1.366035,-0.365027,1.413964
1,142.574355,71.662027,140.916197,70.938889,-1.658157,-0.723138,1.808982
2,140.650021,71.117107,138.674833,70.336472,-1.975188,-0.780635,2.123854
3,120.027266,63.198648,115.012055,62.122327,-5.015211,-1.076320,5.129406
4,118.102932,62.653727,113.127200,61.243588,-4.975732,-1.410139,5.171692
5,68.138695,77.606154,62.858330,80.819300,-5.280365,3.213146,6.181146
6,66.214361,77.061233,61.919586,79.371977,-4.294775,2.310744,4.876949
7,64.290027,76.516313,60.206286,78.355661,-4.083741,1.839348,4.478855
8,62.365693,75.971393,57.933813,77.939081,-4.431880,1.967688,4.849058
9,60.441359,75.426472,55.199582,77.825430,-5.241777,2.398958,5.764653
10,58.517025,74.881552,53.735399,76.807038,-4.781626,1.925486,5.154749
11,56.592691,74.336631,52.655289,75.477910,-3.937402,1.141279,4.099470
12,54.668357,73.791711,51.161942,74.766049,-3.506415,0.974338,3.639269
13,52.744023,73.246790,50.549283,74.372331,-2.194740,1.125541,2.466521
14,50.819689,72.701870,49.861493,73.208648,-0.958196,0.506778,1.083958
15,69.518109,80.075408,65.126161,82.238663,-4.391948,2.163254,4.895802
16,67.593775,79.530488,62.294754,81.996716,-5.299021,2.466228,5.844819
17,65.669441,78.985568,60.954781,81.055057,-4.714660,2.069490,5.148865
18,63.745107,78.440647,60.076630,79.815781,-3.668477,1.375134,3.917744
19,61.820773,77.895727,58.076945,79.183323,-3.743828,1.287596,3.959060
20,59.896439,77.350806,56.099679,79.075459,-3.796760,1.724653,4.170110
21,57.972104,76.805886,54.125883,78.682566,-3.846221,1.876680,4.279643
22,56.047770,76.260965,52.620859,77.311632,-3.426912,1.050667,3.584358
23,54.123436,75.716045,52.159395,76.485622,-1.964041,0.769577,2.109433
24,52.199102,75.171124,51.320539,75.563259,-0.878563,0.392134,0.962103
25,68.973189,81.999743,64.735966,83.793606,-4.237222,1.793864,4.601304
26,67.048854,81.454822,62.643147,83.312994,-4.405707,1.858172,4.781533
27,65.124520,80.909902,60.887860,82.715747,-4.236660,1.805846,4.605471
28,63.200186,80.364981,59.371454,81.404885,-3.828732,1.039904,3.967441
29,61.275852,79.820061,58.211438,80.412583,-3.064414,0.592522,3.121172
30,59.351518,79.275140,56.691469,80.874766,-2.660049,1.599626,3.103975
31,57.427184,78.730220,55.737596,80.166794,-1.689588,1.436574,2.217759
32,55.502850,78.185299,54.327476,79.130416,-1.175374,0.945117,1.508228
33,53.578516,77.640379,53.306133,77.779938,-0.272382,0.139560,0.306054
34,68.428268,83.924077,68.078877,84.381854,-0.349391,0.457778,0.575877
35,66.503934,83.379156,65.523801,84.075621,-0.980133,0.696464,1.202382
36,64.579600,82.834236,63.577128,83.638110,-1.002472,0.803874,1.284976
37,62.655266,82.289315,61.639665,83.119523,-1.015601,0.830208,1.311751
38,60.730932,81.744395,59.775072,82.471071,-0.955859,0.726676,1.200719
39,58.806598,81.199474,58.091969,81.599245,-0.714629,0.399771,0.818847
40,91.230704,84.145200,91.197576,84.701492,-0.033128,0.556292,0.557277
41,89.306370,83.600279,88.999646,84.744370,-0.306725,1.144090,1.184493
42,87.382036,83.055359,87.197359,84.662462,-0.184677,1.607104,1.617680
43,85.457702,82.510438,85.875365,84.632867,0.417663,2.122428,2.163133
44,83.533368,81.965518,83.686388,84.686716,0.153020,2.721198,2.725497
45,81.609034,81.420597,81.602764,84.685461,-0.006270,3.264864,3.264870
46,79.684700,80.875677,79.342181,85.018777,-0.342519,4.143100,4.157234
47,77.760366,80.330756,75.201392,84.964704,-2.558973,4.633948,5.293564
48,75.836032,79.785836,72.397078,84.109177,-3.438954,4.323341,5.524281
49,73.911698,79.240915,69.572745,83.394829,-4.338952,4.153913,6.006788
50,71.987364,78.695995,67.506489,82.444852,-4.480875,3.748857,5.842274
