orig_index,orig_x,orig_y,new_x,new_y,dx,dy,dist
0,144.498689,72.206948,145.083316,71.251069,0.584628,-0.955879,1.120488
1,142.574355,71.662027,143.431981,70.292992,0.857627,-1.369036,1.615482
2,140.650021,71.117107,141.750611,69.253203,1.100590,-1.863904,2.164587
3,120.027266,63.198648,121.279564,58.547674,1.252298,-4.650973,4.816617
4,118.102932,62.653727,116.223899,59.133491,-1.879033,-3.520236,3.990341
5,68.138695,77.606154,57.077568,80.707849,-11.061127,3.101695,11.487778
6,66.214361,77.061233,57.611307,80.625425,-8.603055,3.564192,9.312143
7,64.290027,76.516313,56.732867,81.036029,-7.557160,4.519716,8.805595
8,62.365693,75.971393,58.120384,78.948530,-4.245309,2.977138,5.185171
9,60.441359,75.426472,57.818737,79.362216,-2.622622,3.935744,4.729506
10,58.517025,74.881552,57.577714,79.737509,-0.939311,4.855958,4.945971
11,56.592691,74.336631,57.369878,80.102688,0.777187,5.766057,5.818199
12,54.668357,73.791711,56.932871,81.065263,2.264514,7.273552,7.617912
13,52.744023,73.246790,47.852531,67.342414,-4.891492,-5.904376,7.667356
14,50.819689,72.701870,46.875020,67.834765,-3.944669,-4.867104,6.264912
15,69.518109,80.075408,57.735567,80.567861,-11.782542,0.492452,11.792829
16,67.593775,79.530488,56.884866,80.963033,-10.708909,1.432545,10.804300
17,65.669441,78.985568,56.898255,81.158720,-8.771186,2.173152,9.036387
18,63.745107,78.440647,56.941081,81.043602,-6.804026,2.602955,7.284926
19,61.820773,77.895727,57.444451,79.966525,-4.376322,2.070799,4.841528
20,59.896439,77.350806,57.652627,79.615917,-2.243812,2.265111,3.188325
21,57.972104,76.805886,57.467048,79.926456,-0.505057,3.120571,3.161177
22,56.047770,76.260965,56.953143,81.012111,0.905373,4.751146,4.836640
23,54.123436,75.716045,56.498593,81.148536,2.375157,5.432491,5.929024
24,52.199102,75.171124,55.226270,81.767799,3.027168,6.596674,7.258089
25,68.973189,81.999743,72.572600,88.294478,3.599412,6.294735,7.251169
26,67.048854,81.454822,56.955691,81.005510,-10.093163,-0.449312,10.103159
27,65.124520,80.909902,56.668164,81.067102,-8.456356,0.157200,8.457817
28,63.200186,80.364981,56.575236,81.111729,-6.624950,0.746748,6.666903
29,61.275852,79.820061,56.893988,81.170490,-4.381864,1.350429,4.585236
