orig_index,orig_x,orig_y,new_x,new_y,dx,dy,dist
0,144.498689,72.206948,144.581660,72.153744,0.082971,-0.053204,0.098564
1,142.574355,71.662027,142.627128,71.564063,0.052773,-0.097964,0.111274
2,140.650021,71.117107,140.677803,71.019680,0.027783,-0.097427,0.101311
3,120.027266,63.198648,119.823272,63.707455,-0.203994,0.508808,0.548178
4,118.102932,62.653727,117.984617,63.158078,-0.118315,0.504351,0.518042
5,68.138695,77.606154,68.402803,78.064770,0.264108,0.458616,0.529228
6,66.214361,77.061233,66.327018,77.347422,0.112657,0.286189,0.307564
7,64.290027,76.516313,64.341092,76.512326,0.051065,-0.003987,0.051220
8,62.365693,75.971393,62.352239,75.775820,-0.013454,-0.195572,0.196035
9,60.441359,75.426472,60.262166,75.202991,-0.179193,-0.223481,0.286451
10,58.517025,74.881552,58.157018,74.391097,-0.360007,-0.490455,0.608400
11,56.592691,74.336631,55.951490,73.878571,-0.641201,-0.458060,0.788009
12,54.668357,73.791711,54.289448,74.141069,-0.378908,0.349358,0.515386
13,52.744023,73.246790,51.889405,73.466757,-0.854618,0.219967,0.882472
14,50.819689,72.701870,50.034059,73.858470,-0.785630,1.156601,1.398191
15,69.518109,80.075408,69.391689,79.831402,-0.126420,-0.244007,0.274811
16,67.593775,79.530488,67.518023,80.152327,-0.075752,0.621839,0.626436
17,65.669441,78.985568,65.842187,79.745199,0.172746,0.759632,0.779026
18,63.745107,78.440647,63.865231,78.770564,0.120124,0.329917,0.351105
19,61.820773,77.895727,61.819104,78.002793,-0.001669,0.107066,0.107079
20,59.896439,77.350806,59.732236,77.361444,-0.164202,0.010638,0.164547
21,57.972104,76.805886,57.568779,76.800779,-0.403326,-0.005106,0.403358
22,56.047770,76.260965,55.361840,75.778006,-0.685930,-0.482960,0.838898
23,54.123436,75.716045,53.051209,75.130570,-1.072227,-0.585475,1.221659
24,52.199102,75.171124,51.234081,75.624031,-0.965021,0.452907,1.066016
25,68.973189,81.999743,68.700034,82.129384,-0.273155,0.129642,0.302358
26,67.048854,81.454822,66.559915,81.532241,-0.488939,0.077418,0.495030
27,65.124520,80.909902,65.333346,82.145820,0.208826,1.235919,1.253436
28,63.200186,80.364981,63.679097,81.223922,0.478910,0.858941,0.983430
29,61.275852,79.820061,61.472780,80.276677,0.196928,0.456616,0.497272
30,59.351518,79.275140,59.294195,79.586818,-0.057324,0.311678,0.316906
31,57.427184,78.730220,57.007087,79.310411,-0.420097,0.580191,0.716313
32,55.502850,78.185299,54.800397,78.561272,-0.702453,0.375973,0.796741
33,53.578516,77.640379,52.491868,77.067176,-1.086648,-0.573202,1.228562
34,68.428268,83.924077,67.685791,84.098391,-0.742477,0.174315,0.762665
35,66.503934,83.379156,65.804590,84.177841,-0.699344,0.798685,1.061593
36,64.579600,82.834236,64.052210,83.245455,-0.527389,0.411219,0.668761
37,62.655266,82.289315,62.723030,83.457183,0.067764,1.167868,1.169832
38,60.730932,81.744395,60.501167,82.544050,-0.229765,0.799655,0.832010
39,58.806598,81.199474,58.174917,81.723153,-0.631681,0.523679,0.820524
40,91.230704,84.145200,91.470865,84.744814,0.240161,0.599614,0.645922
41,89.306370,83.600279,89.202333,84.473497,-0.104038,0.873218,0.879393
42,87.382036,83.055359,87.009886,83.732587,-0.372150,0.677228,0.772745
43,85.457702,82.510438,84.537396,82.831306,-0.920306,0.320868,0.974638
44,83.533368,81.965518,82.691167,82.740311,-0.842202,0.774793,1.144381
45,81.609034,81.420597,81.441035,82.228706,-0.167999,0.808109,0.825387
46,79.684700,80.875677,80.541143,80.767019,0.856443,-0.108657,0.863308
47,77.760366,80.330756,77.984970,80.072434,0.224604,-0.258322,0.342312
48,75.836032,79.785836,75.772346,78.965183,-0.063685,-0.820652,0.823120
49,73.911698,79.240915,74.034354,79.326783,0.122656,0.085868,0.149726
50,71.987364,78.695995,72.131303,78.405466,0.143940,-0.290529,0.324231
51,70.063029,78.151074,70.635418,78.437364,0.572389,0.286289,0.639992
52,84.912782,84.434772,84.587688,84.853786,-0.325094,0.419014,0.530338
53,82.988448,83.889852,83.068249,84.744119,0.079801,0.854267,0.857986
54,81.064114,83.344931,80.777705,84.916064,-0.286409,1.571132,1.597024
55,79.139779,82.800011,79.585704,83.014360,0.445924,0.214349,0.494767
56,77.215445,82.255090,78.027519,81.861584,0.812073,-0.393506,0.902391
57,75.291111,81.710170,75.167622,81.047382,-0.123489,-0.662788,0.674194
58,73.366777,81.165249,72.931870,80.479045,-0.434908,-0.686205,0.812417
59,71.442443,80.620329,71.311436,80.656288,-0.131007,0.035959,0.135852
60,69.518109,80.075408,69.391689,79.831402,-0.126420,-0.244007,0.274811
61,76.670525,84.179424,77.137691,84.788289,0.467166,0.608865,0.767438
62,74.746191,83.634504,74.588467,84.121894,-0.157724,0.487390,0.512275
63,72.821857,83.089584,72.553653,82.546814,-0.268203,-0.542770,0.605419
64,70.897523,82.544663,70.619533,82.452005,-0.277990,-0.092658,0.293025
65,68.973189,81.999743,68.700034,82.129384,-0.273155,0.129642,0.302358
66,68.428268,83.924077,67.685791,84.098391,-0.742477,0.174315,0.762665
67,87.926957,81.131025,87.792136,81.424612,-0.134820,0.293587,0.323063
68,86.002623,80.586104,85.937584,80.451431,-0.065038,-0.134673,0.149555
69,84.078289,80.041184,83.872314,80.068925,-0.205975,0.027741,0.207835
70,62.910614,74.047058,62.676184,73.275718,-0.234429,-0.771341,0.806179
71,60.986280,73.502138,60.743401,73.019191,-0.242879,-0.482947,0.540581
72,59.061945,72.957217,58.622464,72.511196,-0.439482,-0.446021,0.626162
73,96.935257,56.659602,97.610168,56.835360,0.674911,0.175758,0.697421
74,95.010923,56.114681,95.288472,56.429190,0.277549,0.314509,0.419463
75,93.086589,55.569761,93.130724,55.977439,0.044135,0.407678,0.410060
76,145.588530,68.358280,146.016512,68.042651,0.427983,-0.315629,0.531781
77,143.664196,67.813359,144.161155,66.927466,0.496959,-0.885893,1.015764
78,141.739861,67.268439,142.108790,66.567123,0.368928,-0.701316,0.792435
79,150.271691,73.841709,151.040265,73.336620,0.768574,-0.505089,0.919685
80,148.347357,73.296789,148.715985,73.231588,0.368628,-0.065201,0.374350
81,146.423023,72.751868,146.653906,72.447353,0.230883,-0.304515,0.382148
82,148.892277,71.372455,149.138045,71.200758,0.245767,-0.171697,0.299803
83,146.967943,70.827534,147.440459,70.021143,0.472516,-0.806391,0.934633
84,145.043609,70.282614,145.214435,70.097862,0.170826,-0.184752,0.251624
85,143.119275,69.737693,143.285458,69.353698,0.166183,-0.383995,0.418413
86,141.194941,69.192773,141.331445,68.878344,0.136504,-0.314429,0.342781
87,153.575439,76.855884,153.821226,76.689136,0.245788,-0.166748,0.297013
88,151.651105,76.310964,152.111856,75.528009,0.460752,-0.782954,0.908466
89,149.726770,75.766043,149.946714,75.560692,0.219944,-0.205352,0.300906
90,147.802436,75.221123,147.881456,75.185892,0.079020,-0.035231,0.086518
91,145.878102,74.676202,145.932947,74.566448,0.054845,-0.109754,0.122695
92,143.953768,74.131282,143.918129,74.254135,-0.035639,0.122853,0.127918
93,142.029434,73.586362,141.995320,73.692886,-0.034114,0.106524,0.111853
94,140.105100,73.041441,140.059275,73.061084,-0.045825,0.019642,0.049857
95,154.954852,79.325139,155.574263,78.928086,0.619411,-0.397053,0.735745
96,153.030518,78.780218,153.337078,78.765264,0.306560,-0.014954,0.306924
97,151.106184,78.235298,151.311420,77.951271,0.205236,-0.284027,0.350418
98,149.181850,77.690378,149.231403,77.745190,0.049553,0.054812,0.073891
99,147.257516,77.145457,147.257329,77.255978,-0.000187,0.110521,0.110521
100,145.333182,76.600537,145.306030,76.598836,-0.027152,-0.001701,0.027205
101,143.408848,76.055616,143.231691,76.483092,-0.177157,0.427476,0.462731
102,141.484514,75.510696,141.347393,75.845543,-0.137121,0.334847,0.361835
103,139.560180,74.965775,139.399296,75.049527,-0.160884,0.083752,0.181378
