orig_index,orig_x,orig_y,new_x,new_y,dx,dy,dist
0,144.498689,72.206948,139.765167,68.551603,-4.733521,-3.655345,5.980616
1,142.574355,71.662027,138.454721,69.168322,-4.119633,-2.493705,4.815594
2,140.650021,71.117107,136.975836,68.923396,-3.674184,-2.193711,4.279252
3,120.027266,63.198648,115.793520,62.129048,-4.233746,-1.069599,4.366767
4,118.102932,62.653727,113.983583,61.219824,-4.119349,-1.433903,4.361779
5,68.138695,77.606154,68.183105,82.175779,0.044410,4.569625,4.569841
6,66.214361,77.061233,66.348528,81.666730,0.134167,4.605496,4.607450
7,64.290027,76.516313,64.756693,80.962588,0.466665,4.446275,4.470698
8,62.365693,75.971393,63.183555,80.447742,0.817862,4.476349,4.550451
9,60.441359,75.426472,61.615393,80.435504,1.174034,5.009032,5.144780
10,58.517025,74.881552,60.104224,80.588317,1.587199,5.706766,5.923375
11,56.592691,74.336631,58.160382,80.488204,1.567691,6.151573,6.348190
12,54.668357,73.791711,55.903623,79.590820,1.235266,5.799109,5.929211
13,52.744023,73.246790,52.903181,77.739066,0.159159,4.492276,4.495094
14,50.819689,72.701870,50.461002,74.413040,-0.358687,1.711171,1.748360
15,69.518109,80.075408,72.058821,83.753806,2.540712,3.678398,4.470551
16,67.593775,79.530488,69.543445,83.320693,1.949671,3.790205,4.262261
17,65.669441,78.985568,67.535849,82.979340,1.866408,3.993773,4.408367
18,63.745107,78.440647,66.030074,82.756222,2.284967,4.315575,4.883161
19,61.820773,77.895727,64.592824,82.328087,2.772051,4.432360,5.227818
20,59.896439,77.350806,63.092841,82.046230,3.196402,4.695423,5.680140
21,57.972104,76.805886,61.431723,82.135326,3.459619,5.329440,6.353888
22,56.047770,76.260965,58.159542,81.589219,2.111771,5.328254,5.731480
23,54.123436,75.716045,55.153302,79.760109,1.029866,4.044064,4.173138
24,52.199102,75.171124,51.956090,76.537835,-0.243012,1.366711,1.388147
25,68.973189,81.999743,70.835422,84.644692,1.862233,2.644949,3.234759
26,67.048854,81.454822,68.251307,84.446072,1.202453,2.991250,3.223891
27,65.124520,80.909902,67.361839,84.394077,2.237319,3.484176,4.140662
28,63.200186,80.364981,66.022730,84.051153,2.822543,3.686171,4.642694
29,61.275852,79.820061,64.546245,83.916714,3.270393,4.096653,5.241950
30,59.351518,79.275140,62.863566,83.474867,3.512048,4.199726,5.474686
31,57.427184,78.730220,58.880337,82.044482,1.453153,3.314263,3.618838
32,55.502850,78.185299,56.226854,80.485367,0.724004,2.300068,2.411326
33,53.578516,77.640379,53.600204,78.389720,0.021688,0.749341,0.749655
34,68.428268,83.924077,68.687440,84.493624,0.259172,0.569548,0.625743
35,66.503934,83.379156,66.778918,84.234917,0.274984,0.855761,0.898857
36,64.579600,82.834236,65.134669,83.917845,0.555069,1.083610,1.217502
37,62.655266,82.289315,63.470302,83.605739,0.815036,1.316424,1.548308
38,60.730932,81.744395,61.626260,83.023735,0.895328,1.279340,1.561513
39,58.806598,81.199474,59.419297,82.243216,0.612699,1.043742,1.210288
40,91.230704,84.145200,92.481651,84.743467,1.250947,0.598268,1.386648
41,89.306370,83.600279,91.538387,84.735632,2.232016,1.135353,2.504181
42,87.382036,83.055359,90.327034,84.664101,2.944998,1.608742,3.355751
43,85.457702,82.510438,89.093490,84.682049,3.635788,2.171611,4.234956
44,83.533368,81.965518,88.026625,84.673875,4.493257,2.708357,5.246385
45,81.609034,81.420597,87.257757,84.761071,5.648723,3.340473,6.562533
46,79.684700,80.875677,84.936439,84.431292,5.251739,3.555615,6.342173
47,77.760366,80.330756,82.171187,84.354953,4.410821,4.024196,5.970720
48,75.836032,79.785836,79.394868,83.968628,3.558836,4.182792,5.491909
49,73.911698,79.240915,76.633521,83.734118,2.721823,4.493202,5.253303
50,71.987364,78.695995,73.901042,83.868527,1.913679,5.172532,5.515184
51,70.063029,78.151074,70.493986,82.781186,0.430956,4.630112,4.650125
52,84.912782,84.434772,85.395980,84.745494,0.483198,0.310722,0.574481
53,82.988448,83.889852,84.038922,84.887447,1.050475,0.997595,1.448687
54,81.064114,83.344931,82.400688,84.811983,1.336575,1.467052,1.984609
