orig_index,orig_x,orig_y,new_x,new_y,dx,dy,dist
0,144.498689,72.206948,143.131525,71.842424,-1.367163,-0.364523,1.414925
1,142.574355,71.662027,140.912807,70.939476,-1.661547,-0.722552,1.811855
2,140.650021,71.117107,138.667536,70.338755,-1.982485,-0.778352,2.129807
3,120.027266,63.198648,114.942149,62.202036,-5.085117,-0.996611,5.181858
4,118.102932,62.653727,113.108077,61.301258,-4.994855,-1.352469,5.174722
5,68.138695,77.606154,62.739890,81.318813,-5.398806,3.712659,6.552171
6,66.214361,77.061233,61.831226,79.672338,-4.383135,2.611104,5.101935
7,64.290027,76.516313,60.172373,78.533382,-4.117654,2.017069,4.585154
8,62.365693,75.971393,57.759518,78.215849,-4.606175,2.244457,5.123908
9,60.441359,75.426472,54.880157,78.584037,-5.561202,3.157565,6.395090
10,58.517025,74.881552,53.275764,77.179356,-5.241261,2.297805,5.722825
11,56.592691,74.336631,52.195614,76.545021,-4.397077,2.208390,4.920495
12,54.668357,73.791711,51.529918,75.002679,-3.138439,1.210969,3.363963
13,52.744023,73.246790,50.557605,74.387128,-2.186418,1.140337,2.465926
14,50.819689,72.701870,49.861493,73.208648,-0.958196,0.506778,1.083958
15,69.518109,80.075408,64.852702,82.528544,-4.665407,2.453135,5.271043
16,67.593775,79.530488,61.939446,83.110019,-5.654329,3.579531,6.692121
17,65.669441,78.985568,60.715676,81.889419,-4.953765,2.903851,5.742137
18,63.745107,78.440647,59.881802,80.311197,-3.863304,1.870550,4.292328
19,61.820773,77.895727,57.893296,79.804584,-3.927477,1.908857,4.366785
20,59.896439,77.350806,51.320539,75.563259,-8.575899,-1.787547,8.760215
21,57.972104,76.805886,65.455550,83.974479,7.483445,7.168594,10.362948
22,56.047770,76.260965,63.913888,83.587211,7.866117,7.326246,10.749404
23,54.123436,75.716045,53.306133,77.779938,-0.817303,2.063894,2.219829
24,52.199102,75.171124,68.078877,84.381854,15.879774,9.210730,18.357690
25,68.973189,81.999743,59.951095,82.405939,-9.022093,0.406196,9.031233
26,67.048854,81.454822,87.197399,84.660696,20.148545,3.205874,20.401997
27,65.124520,80.909902,85.866193,84.628660,20.741673,3.718759,21.072403
28,63.200186,80.364981,79.092305,84.892524,15.892118,4.527543,16.524469
29,61.275852,79.820061,72.182098,83.914160,10.906246,4.094100,11.649371
30,59.351518,79.275140,69.847351,84.176419,10.495833,4.901279,11.583827
31,57.427184,78.730220,65.254513,81.195484,7.827329,2.465264,8.206376
32,55.502850,78.185299,84.962253,84.714098,29.459403,6.528799,30.174188
33,53.578516,77.640379,83.017086,84.758720,29.438570,7.118341,30.286964
34,68.428268,83.924077,81.063847,84.743286,12.635579,0.819209,12.662107
35,66.503934,83.379156,72.936080,84.767089,6.432146,1.387932,6.580187
36,64.579600,82.834236,67.555440,82.754727,2.975840,-0.079509,2.976902
37,62.655266,82.289315,64.852702,82.528544,2.197436,0.239229,2.210420
38,60.730932,81.744395,74.303063,84.833272,13.572131,3.088877,13.919192
39,58.806598,81.199474,65.455550,83.974479,6.648952,2.775005,7.204805
40,91.230704,84.145200,68.078877,84.381854,-23.151828,0.236655,23.153037
41,89.306370,83.600279,86.869151,83.671780,-2.437220,0.071501,2.438268
42,87.382036,83.055359,84.274180,84.656216,-3.107856,1.600858,3.495928
43,85.457702,82.510438,82.452798,84.752286,-3.004904,2.241848,3.749044
44,83.533368,81.965518,57.107670,76.742793,-26.425698,-5.222725,26.936859
45,81.609034,81.420597,55.125699,76.366320,-26.483335,-5.054278,26.961319
46,79.684700,80.875677,54.122909,75.041464,-25.561791,-5.834212,26.219138
47,77.760366,80.330756,88.715531,58.806476,10.955165,-21.524281,24.151818
48,75.836032,79.785836,87.387723,57.290392,11.551691,-22.495444,25.288072
49,73.911698,79.240915,145.635709,68.789542,71.724011,-10.451373,72.481480
50,71.987364,78.695995,143.271760,67.971275,71.284397,-10.724719,72.086648
51,70.063029,78.151074,140.947189,67.223944,70.884160,-10.927131,71.721450
52,84.912782,84.434772,150.483966,73.804659,65.571184,-10.630114,66.427250
53,82.988448,83.889852,147.824253,73.371791,64.835805,-10.518061,65.683417
54,81.064114,83.344931,145.584048,72.548754,64.519934,-10.796177,65.416966
55,79.139779,82.800011,149.072802,71.675102,69.933022,-11.124909,70.812366
56,77.215445,82.255090,146.819554,70.951493,69.604109,-11.303597,70.515979
57,75.291111,81.710170,144.480300,70.569072,69.189189,-11.141098,70.080439
58,73.366777,81.165249,142.428175,69.800594,69.061398,-11.364656,69.990229
59,71.442443,80.620329,140.257317,69.130240,68.814874,-11.490089,69.767535
60,69.518109,80.075408,151.563688,75.732877,82.045579,-4.342532,82.160420
61,76.670525,84.179424,148.633566,75.142291,71.963041,-9.037134,72.528264
62,74.746191,83.634504,145.962286,74.303288,71.216095,-9.331216,71.824813
63,72.821857,83.089584,143.614302,73.378473,70.792445,-9.711110,71.455412
64,70.897523,82.544663,140.999113,72.484933,70.101591,-10.059730,70.819709
65,68.973189,81.999743,138.674351,71.837691,69.701162,-10.162052,70.438053
66,68.428268,83.924077,136.302534,71.494834,67.874266,-12.429243,69.002913
67,87.926957,81.131025,154.615110,78.273153,66.688154,-2.857871,66.749362
68,86.002623,80.586104,152.036083,77.543861,66.033460,-3.042244,66.103503
69,84.078289,80.041184,149.281257,76.698886,65.202968,-3.342298,65.288575
70,62.910614,74.047058,146.281916,75.814705,83.371303,1.767646,83.390040
71,60.986280,73.502138,143.589681,74.856774,82.603402,1.354636,82.614508
72,59.061945,72.957217,141.194201,73.933090,82.132255,0.975872,82.138052
73,96.935257,56.659602,138.654297,73.283948,41.719040,16.624346,44.909321
74,95.010923,56.114681,136.226704,72.949537,41.215781,16.834855,44.521377
75,93.086589,55.569761,133.705909,72.965880,40.619320,17.396119,44.187715
76,145.588530,68.358280,155.612834,80.053151,10.024305,11.694872,15.403140
77,143.664196,67.813359,152.017012,79.230029,8.352817,11.416669,14.146020
78,141.739861,67.268439,149.221550,78.255694,7.481688,10.987255,13.292683
79,150.271691,73.841709,146.703057,77.244749,-3.568634,3.403040,4.931108
80,148.347357,73.296789,143.879588,76.377738,-4.467769,3.080949,5.427081
81,146.423023,72.751868,141.262179,75.577107,-5.160844,2.825238,5.883560
82,148.892277,71.372455,138.986410,74.938651,-9.905868,3.566196,10.528246
83,146.967943,70.827534,136.798834,74.581317,-10.169109,3.753783,10.839818
84,145.043609,70.282614,134.623843,74.414834,-10.419766,4.132220,11.209227
85,143.119275,69.737693,132.181113,74.898572,-10.938162,5.160878,12.094546
86,141.194941,69.192773,155.531770,81.742649,14.336829,12.549876,19.053715
87,153.575439,76.855884,152.656011,80.701728,-0.919427,3.845843,3.954220
88,151.651105,76.310964,149.471982,79.785629,-2.179123,3.474665,4.101448
89,149.726770,75.766043,146.786873,78.932803,-2.939897,3.166760,4.321037
90,147.802436,75.221123,144.380837,78.159477,-3.421599,2.938354,4.510129
91,145.878102,74.676202,142.130049,77.593069,-3.748053,2.916867,4.749317
92,143.953768,74.131282,140.074678,77.160082,-3.879090,3.028800,4.921480
93,142.029434,73.586362,138.110514,76.726491,-3.918920,3.140129,5.021787
94,140.105100,73.041441,136.050948,76.350073,-4.054152,3.308632,5.232895
95,154.954852,79.325139,133.756569,76.128757,-21.198284,-3.196382,21.437912
96,153.030518,78.780218,158.824056,84.487771,5.793537,5.707552,8.132726
97,151.106184,78.235298,155.728805,83.351152,4.622621,5.115854,6.894968
98,149.181850,77.690378,152.554732,82.372074,3.372882,4.681696,5.770148
99,147.257516,77.145457,149.978036,81.546247,2.720520,4.400790,5.173798
100,145.333182,76.600537,147.558740,81.184925,2.225558,4.584388,5.096050
101,143.408848,76.055616,145.535226,80.487532,2.126378,4.431916,4.915625
102,141.484514,75.510696,143.605085,80.046364,2.120571,4.535669,5.006907
103,139.560180,74.965775,141.718157,79.578634,2.157977,4.612859,5.092674
