orig_index,orig_x,orig_y,new_x,new_y,dx,dy,dist
0,144.498689,72.206948,143.650823,71.416719,-0.847866,-0.790229,1.159025
1,142.574355,71.662027,141.568020,70.433261,-1.006334,-1.228766,1.588262
2,140.650021,71.117107,139.292687,69.786983,-1.357334,-1.330124,1.900417
3,120.027266,63.198648,115.263690,61.211977,-4.763576,-1.986671,5.161251
4,118.102932,62.653727,113.281344,60.857389,-4.821588,-1.796338,5.145342
5,68.138695,77.606154,62.643111,79.877134,-5.495584,2.270981,5.946327
6,66.214361,77.061233,61.736418,78.590389,-4.477943,1.529155,4.731838
7,64.290027,76.516313,60.005217,77.818850,-4.284810,1.302537,4.478414
8,62.365693,75.971393,57.537384,77.463805,-4.828309,1.492412,5.053698
9,60.441359,75.426472,55.704494,77.432197,-4.736865,2.005725,5.144008
10,58.517025,74.881552,54.195055,76.550355,-4.321969,1.668803,4.632961
11,56.592691,74.336631,53.059019,75.220693,-3.533672,0.884062,3.642582
12,54.668357,73.791711,51.484684,74.560100,-3.183673,0.768390,3.275087
13,52.744023,73.246790,50.668635,74.343275,-2.075387,1.096485,2.347235
14,50.819689,72.701870,49.976954,73.161133,-0.842734,0.459264,0.959752
15,69.518109,80.075408,64.891924,80.938239,-4.626185,0.862831,4.705960
16,67.593775,79.530488,62.502073,81.351222,-5.091702,1.820734,5.407449
17,65.669441,78.985568,60.881790,80.651101,-4.787651,1.665533,5.069083
18,63.745107,78.440647,60.030315,79.508469,-3.714792,1.067822,3.865220
19,61.820773,77.895727,58.392652,78.581766,-3.428121,0.686040,3.496092
20,59.896439,77.350806,56.310684,79.072528,-3.585755,1.721722,3.977683
21,57.972104,76.805886,54.485189,78.801894,-3.486916,1.996008,4.017789
22,56.047770,76.260965,53.138398,77.699931,-2.909372,1.438966,3.245777
23,54.123436,75.716045,52.355198,76.540263,-1.768239,0.824219,1.950898
24,52.199102,75.171124,51.399653,75.572036,-0.799449,0.400912,0.894343
25,68.973189,81.999743,65.157953,83.442835,-3.815235,1.443093,4.079036
26,67.048854,81.454822,63.014166,83.159443,-4.034689,1.704621,4.380005
27,65.124520,80.909902,61.144587,82.740467,-3.979933,1.830565,4.380735
28,63.200186,80.364981,59.177099,81.886832,-4.023087,1.521851,4.301309
29,61.275852,79.820061,58.247097,80.089052,-3.028755,0.268991,3.040677
30,59.351518,79.275140,56.990986,80.832303,-2.360532,1.557163,2.827873
31,57.427184,78.730220,56.009319,80.358962,-1.417865,1.628742,2.159431
32,55.502850,78.185299,54.697327,79.115268,-0.805523,0.929968,1.230328
33,53.578516,77.640379,53.139048,77.940535,-0.439467,0.300156,0.532189
34,68.428268,83.924077,68.287806,84.456449,-0.140462,0.532373,0.550591
35,66.503934,83.379156,65.835687,83.964197,-0.668247,0.585041,0.888160
36,64.579600,82.834236,64.058620,83.502526,-0.520980,0.668290,0.847368
37,62.655266,82.289315,62.129404,82.984034,-0.525862,0.694719,0.871301
38,60.730932,81.744395,60.096996,82.544129,-0.633936,0.799734,1.020514
39,58.806598,81.199474,58.257527,81.643528,-0.549070,0.444054,0.706160
40,91.230704,84.145200,91.303710,84.641389,0.073006,0.496189,0.501531
41,89.306370,83.600279,88.967604,84.730924,-0.338766,1.130645,1.180305
42,87.382036,83.055359,86.910906,84.739745,-0.471130,1.684386,1.749034
43,85.457702,82.510438,82.576203,83.301639,-2.881499,0.791201,2.988149
44,83.533368,81.965518,79.662617,83.540089,-3.870751,1.574571,4.178755
45,81.609034,81.420597,76.877706,83.407851,-4.731328,1.987254,5.131729
