idx,agent,size,slots,lp_norm,cost,reward,prestige,score
156,EDU,L,s_232,0.8332767194368945,1.8666213755495156,0.5619836951978255,0.6533276719436896,0.6573798849681938
171,EDU,L,s_108,0.8315889032043593,1.8652711225634875,0.5614976041228554,0.653158890320436,0.6571769156323488
152,EDU,L,s_112,0.8304812526202129,1.8643850020961703,0.5611786007546212,0.6530481252620214,0.6570437144585015
157,EDU,L,s_80,0.8303258603355701,1.864260688268456,0.5611338477766441,0.6530325860335571,0.6570250276677234
162,EDU,L,s_88,0.8302893634006143,1.8642314907204915,0.5611233366593769,0.6530289363400615,0.6570206387072989
121,EDU,L,s_4,0.8297743970583931,1.8638195176467145,0.5609750263528172,0.6529774397058394,0.6569587111262932
138,EDU,L,s_302,0.8297743970583931,1.8638195176467145,0.5609750263528172,0.6529774397058394,0.6569587111262932
141,EDU,L,s_36,0.8297743970583931,1.8638195176467145,0.5609750263528172,0.6529774397058394,0.6569587111262932
153,EDU,L,s_28,0.8297743970583931,1.8638195176467145,0.5609750263528172,0.6529774397058394,0.6569587111262932
176,EDU,L,s_8,0.8297743970583931,1.8638195176467145,0.5609750263528172,0.6529774397058394,0.6569587111262932
127,EDU,L,s_312,0.825793577455484,1.860634861964387,0.5598285503071794,0.6525793577455484,0.6564799953186448
129,EDU,L,s_235,0.8252981539070827,1.8602385231256662,0.5596858683252398,0.6525298153907083,0.6564204178678283
137,EDU,L,s_107,0.8188364743924081,1.8550691795139265,0.5578249046250134,0.6518836474392409,0.6556433647892683
161,EDU,L,s_101,0.8184112745297965,1.854729019623837,0.5577024470645813,0.6518411274529797,0.6555922321291766
134,EDU,L,s_9,0.8178891672404074,1.8543113337923258,0.5575520801652373,0.6517889167240408,0.6555294458093603
169,EDU,L,s_15,0.8178891672404074,1.8543113337923258,0.5575520801652373,0.6517889167240408,0.6555294458093603
172,EDU,L,s_329,0.8178891672404074,1.8543113337923258,0.5575520801652373,0.6517889167240408,0.6555294458093603
146,EDU,L,s_122,0.8178399626410442,1.8542719701128354,0.5575379092406206,0.6517839962641045,0.6555235286812627
160,EDU,L,s_93,0.8155195483294014,1.852415638663521,0.5568696299188675,0.6515519548329403,0.6552444858905608
155,EDU,L,s_113,0.8155051334640655,1.8524041067712524,0.5568654784376508,0.6515505133464066,0.6552427524224336
123,EDU,L,s_328,0.814944567847085,1.851955654277668,0.5567040355399604,0.6514944567847085,0.6551753412737653
128,EDU,L,s_23,0.814944567847085,1.851955654277668,0.5567040355399604,0.6514944567847085,0.6551753412737653
142,EDU,L,s_3,0.814944567847085,1.851955654277668,0.5567040355399604,0.6514944567847085,0.6551753412737653
170,EDU,L,s_330,0.814944567847085,1.851955654277668,0.5567040355399604,0.6514944567847085,0.6551753412737653
150,EDU,L,s_76,0.8144351746860075,1.851548139748806,0.5565573303095701,0.6514435174686009,0.655114083898943
119,EDU,L,s_40,0.8139653935606568,1.8511723148485255,0.5564220333454691,0.6513965393560658,0.6550575900928243
173,EDU,L,s_178,0.8139653935606568,1.8511723148485255,0.5564220333454691,0.6513965393560658,0.6550575900928243
147,EDU,L,s_287,0.8110349273924938,1.848827941913995,0.5555780590890382,0.6511034927392494,0.6547051851565511
167,EDU,L,s_124,0.8109909576682367,1.8487927661345893,0.5555653958084522,0.6510990957668237,0.6546998975514446
133,EDU,L,s_123,0.8099431867385849,1.847954549390868,0.5552636377807124,0.6509943186738586,0.6545738972407419
126,EDU,L,s_66,0.8095765594547679,1.8476612475638143,0.5551580491229731,0.6509576559454768,0.6545298082606357
154,EDU,L,s_50,0.8090871497211556,1.8472697197769246,0.5550170991196928,0.6509087149721157,0.6544709540046615
