orig_index,orig_x,orig_y,new_x,new_y,dx,dy,dist
0,138.725686,70.572187,138.725686,70.572187,0.000000,0.000000,0.000000
1,136.801352,70.027266,136.801352,70.027266,0.000000,0.000000,0.000000
2,134.877018,69.482346,134.877018,69.482346,0.000000,0.000000,0.000000
3,132.952684,68.937425,132.952684,68.937425,0.000000,0.000000,0.000000
4,131.028350,68.392505,131.028350,68.392505,0.000000,0.000000,0.000000
5,129.104016,67.847584,129.104016,67.847584,0.000000,0.000000,0.000000
6,127.179682,67.302664,127.179682,67.302664,0.000000,0.000000,0.000000
7,125.255348,66.757743,125.255348,66.757743,0.000000,0.000000,0.000000
8,123.331014,66.212823,123.331014,66.212823,0.000000,0.000000,0.000000
9,121.406680,65.667902,121.406680,65.667902,0.000000,0.000000,0.000000
10,119.482346,65.122982,119.482346,65.122982,0.000000,0.000000,0.000000
11,117.558011,64.578061,117.558011,64.578061,0.000000,0.000000,0.000000
12,115.633677,64.033141,115.633677,64.033141,0.000000,0.000000,0.000000
13,138.180766,72.496521,138.180766,72.496521,0.000000,0.000000,0.000000
14,136.256432,71.951600,136.256432,71.951600,0.000000,0.000000,0.000000
15,134.332098,71.406680,134.332098,71.406680,0.000000,0.000000,0.000000
16,132.407764,70.861759,132.407764,70.861759,0.000000,0.000000,0.000000
17,130.483430,70.316839,130.483430,70.316839,0.000000,0.000000,0.000000
18,128.559096,69.771918,128.559096,69.771918,0.000000,0.000000,0.000000
19,126.634761,69.226998,126.634761,69.226998,0.000000,0.000000,0.000000
20,124.710427,68.682077,124.710427,68.682077,0.000000,0.000000,0.000000
21,122.786093,68.137157,122.786093,68.137157,0.000000,0.000000,0.000000
22,120.861759,67.592236,120.861759,67.592236,0.000000,0.000000,0.000000
23,118.937425,67.047316,118.937425,67.047316,0.000000,0.000000,0.000000
24,117.013091,66.502395,117.013091,66.502395,0.000000,0.000000,0.000000
25,115.088757,65.957475,115.088757,65.957475,0.000000,0.000000,0.000000
26,137.635845,74.420855,137.635845,74.420855,0.000000,0.000000,0.000000
27,135.711511,73.875934,135.711511,73.875934,0.000000,0.000000,0.000000
28,133.787177,73.331014,133.787177,73.331014,0.000000,0.000000,0.000000
29,131.862843,72.786093,131.862843,72.786093,0.000000,0.000000,0.000000
30,129.938509,72.241173,129.938509,72.241173,0.000000,0.000000,0.000000
31,128.014175,71.696252,128.014175,71.696252,0.000000,0.000000,0.000000
32,126.089841,71.151332,126.089841,71.151332,0.000000,0.000000,0.000000
33,124.165507,70.606411,124.165507,70.606411,0.000000,0.000000,0.000000
34,122.241173,70.061491,122.241173,70.061491,0.000000,0.000000,0.000000
35,120.316839,69.516570,120.316839,69.516570,0.000000,0.000000,0.000000
36,118.392505,68.971650,118.392505,68.971650,0.000000,0.000000,0.000000
37,116.468171,68.426729,116.468171,68.426729,0.000000,0.000000,0.000000
38,114.543836,67.881809,114.543836,67.881809,0.000000,0.000000,0.000000
39,137.090925,76.345189,137.090925,76.345189,0.000000,0.000000,0.000000
40,135.166591,75.800268,135.166591,75.800268,0.000000,0.000000,0.000000
41,133.242257,75.255348,133.242257,75.255348,0.000000,0.000000,0.000000
42,131.317923,74.710427,131.317923,74.710427,0.000000,0.000000,0.000000
43,129.393589,74.165507,129.393589,74.165507,0.000000,0.000000,0.000000
44,127.469255,73.620586,127.469255,73.620586,0.000000,0.000000,0.000000
45,125.544920,73.075666,125.544920,73.075666,0.000000,0.000000,0.000000
46,123.620586,72.530745,123.620586,72.530745,0.000000,0.000000,0.000000
47,121.696252,71.985825,121.696252,71.985825,0.000000,0.000000,0.000000
48,119.771918,71.440904,119.771918,71.440904,0.000000,0.000000,0.000000
49,117.847584,70.895984,117.847584,70.895984,0.000000,0.000000,0.000000
50,115.923250,70.351064,115.923250,70.351064,0.000000,0.000000,0.000000
51,113.998916,69.806143,113.998916,69.806143,0.000000,0.000000,0.000000
52,136.546005,78.269523,136.546005,78.269523,0.000000,0.000000,0.000000
53,134.621670,77.724602,134.621670,77.724602,0.000000,0.000000,0.000000
54,132.697336,77.179682,132.697336,77.179682,0.000000,0.000000,0.000000
55,130.773002,76.634761,130.773002,76.634761,0.000000,0.000000,0.000000
56,128.848668,76.089841,128.848668,76.089841,0.000000,0.000000,0.000000
57,126.924334,75.544920,126.924334,75.544920,0.000000,0.000000,0.000000
58,125.000000,75.000000,125.000000,75.000000,0.000000,0.000000,0.000000
59,123.075666,74.455080,123.075666,74.455080,0.000000,0.000000,0.000000
60,121.151332,73.910159,121.151332,73.910159,0.000000,0.000000,0.000000
61,119.226998,73.365239,119.226998,73.365239,0.000000,0.000000,0.000000
62,117.302664,72.820318,117.302664,72.820318,0.000000,0.000000,0.000000
63,115.378330,72.275398,115.378330,72.275398,0.000000,0.000000,0.000000
64,113.453995,71.730477,113.453995,71.730477,0.000000,0.000000,0.000000
65,136.001084,80.193857,136.001084,80.193857,0.000000,0.000000,0.000000
66,134.076750,79.648936,134.076750,79.648936,0.000000,0.000000,0.000000
67,132.152416,79.104016,132.152416,79.104016,0.000000,0.000000,0.000000
68,130.228082,78.559096,130.228082,78.559096,0.000000,0.000000,0.000000
69,128.303748,78.014175,128.303748,78.014175,0.000000,0.000000,0.000000
70,126.379414,77.469255,126.379414,77.469255,0.000000,0.000000,0.000000
71,124.455080,76.924334,124.455080,76.924334,0.000000,0.000000,0.000000
72,122.530745,76.379414,122.530745,76.379414,0.000000,0.000000,0.000000
73,120.606411,75.834493,120.606411,75.834493,0.000000,0.000000,0.000000
74,118.682077,75.289573,118.682077,75.289573,0.000000,0.000000,0.000000
75,116.757743,74.744652,116.757743,74.744652,0.000000,0.000000,0.000000
76,114.833409,74.199732,114.833409,74.199732,0.000000,0.000000,0.000000
77,112.909075,73.654811,112.909075,73.654811,0.000000,0.000000,0.000000
78,135.456164,82.118191,135.456164,82.118191,0.000000,0.000000,0.000000
79,133.531829,81.573271,133.531829,81.573271,0.000000,0.000000,0.000000
80,131.607495,81.028350,131.607495,81.028350,0.000000,0.000000,0.000000
81,129.683161,80.483430,129.683161,80.483430,0.000000,0.000000,0.000000
82,127.758827,79.938509,127.758827,79.938509,0.000000,0.000000,0.000000
83,125.834493,79.393589,125.834493,79.393589,0.000000,0.000000,0.000000
84,123.910159,78.848668,123.910159,78.848668,0.000000,0.000000,0.000000
85,121.985825,78.303748,121.985825,78.303748,0.000000,0.000000,0.000000
86,120.061491,77.758827,120.061491,77.758827,0.000000,0.000000,0.000000
87,118.137157,77.213907,118.137157,77.213907,0.000000,0.000000,0.000000
88,116.212823,76.668986,116.212823,76.668986,0.000000,0.000000,0.000000
89,114.288489,76.124066,114.288489,76.124066,0.000000,0.000000,0.000000
90,112.364155,75.579145,112.364155,75.579145,0.000000,0.000000,0.000000
91,134.911243,84.042525,134.911243,84.042525,0.000000,0.000000,0.000000
92,132.986909,83.497605,132.986909,83.497605,0.000000,0.000000,0.000000
93,131.062575,82.952684,131.062575,82.952684,0.000000,0.000000,0.000000
94,129.138241,82.407764,129.138241,82.407764,0.000000,0.000000,0.000000
95,127.213907,81.862843,127.213907,81.862843,0.000000,0.000000,0.000000
