orig_index,orig_x,orig_y,new_x,new_y,dx,dy,dist
0,144.498689,72.206948,144.498689,72.206948,0.000000,0.000000,0.000000
1,142.574355,71.662027,142.574355,71.662027,0.000000,0.000000,0.000000
2,140.650021,71.117107,140.650021,71.117107,0.000000,0.000000,0.000000
3,120.027266,63.198648,120.027266,63.198648,0.000000,0.000000,0.000000
4,118.102932,62.653727,118.102932,62.653727,0.000000,0.000000,0.000000
5,68.138695,77.606154,68.138695,77.606154,0.000000,0.000000,0.000000
6,66.214361,77.061233,66.214361,77.061233,0.000000,0.000000,0.000000
7,64.290027,76.516313,64.290027,76.516313,0.000000,0.000000,0.000000
8,62.365693,75.971393,62.365693,75.971393,0.000000,0.000000,0.000000
9,60.441359,75.426472,60.441359,75.426472,0.000000,0.000000,0.000000
10,58.517025,74.881552,58.517025,74.881552,0.000000,0.000000,0.000000
11,56.592691,74.336631,56.592691,74.336631,0.000000,0.000000,0.000000
12,54.668357,73.791711,54.668357,73.791711,0.000000,0.000000,0.000000
13,52.744023,73.246790,52.744023,73.246790,0.000000,0.000000,0.000000
14,50.819689,72.701870,50.819689,72.701870,0.000000,0.000000,0.000000
15,69.518109,80.075408,69.518109,80.075408,0.000000,0.000000,0.000000
16,67.593775,79.530488,67.593775,79.530488,0.000000,0.000000,0.000000
17,65.669441,78.985568,65.669441,78.985568,0.000000,0.000000,0.000000
18,63.745107,78.440647,63.745107,78.440647,0.000000,0.000000,0.000000
19,61.820773,77.895727,61.820773,77.895727,0.000000,0.000000,0.000000
20,59.896439,77.350806,59.896439,77.350806,0.000000,0.000000,0.000000
21,57.972104,76.805886,57.972104,76.805886,0.000000,0.000000,0.000000
22,56.047770,76.260965,56.047770,76.260965,0.000000,0.000000,0.000000
23,54.123436,75.716045,54.123436,75.716045,0.000000,0.000000,0.000000
24,52.199102,75.171124,52.199102,75.171124,0.000000,0.000000,0.000000
25,68.973189,81.999743,68.973189,81.999743,0.000000,0.000000,0.000000
26,67.048854,81.454822,67.048854,81.454822,0.000000,0.000000,0.000000
27,65.124520,80.909902,65.124520,80.909902,0.000000,0.000000,0.000000
28,63.200186,80.364981,63.200186,80.364981,0.000000,0.000000,0.000000
29,61.275852,79.820061,61.275852,79.820061,0.000000,0.000000,0.000000
30,59.351518,79.275140,59.351518,79.275140,0.000000,0.000000,0.000000
31,57.427184,78.730220,57.427184,78.730220,0.000000,0.000000,0.000000
32,55.502850,78.185299,55.502850,78.185299,0.000000,0.000000,0.000000
33,53.578516,77.640379,53.578516,77.640379,0.000000,0.000000,0.000000
34,68.428268,83.924077,68.428268,83.924077,0.000000,0.000000,0.000000
35,66.503934,83.379156,66.503934,83.379156,0.000000,0.000000,0.000000
36,64.579600,82.834236,64.579600,82.834236,0.000000,0.000000,0.000000
37,62.655266,82.289315,62.655266,82.289315,0.000000,0.000000,0.000000
38,60.730932,81.744395,60.730932,81.744395,0.000000,0.000000,0.000000
