orig_index,orig_x,orig_y,new_x,new_y,dx,dy,dist
0,144.498689,72.206948,144.266719,71.987116,-0.231969,-0.219832,0.319587
1,142.574355,71.662027,142.353251,71.476475,-0.221104,-0.185553,0.288646
2,140.650021,71.117107,140.421485,70.979361,-0.228535,-0.137746,0.266838
3,120.027266,63.198648,119.838719,63.179342,-0.188547,-0.019306,0.189533
4,118.102932,62.653727,117.894141,62.596961,-0.208791,-0.056766,0.216370
5,68.138695,77.606154,67.839599,77.770996,-0.299096,0.164842,0.341513
6,66.214361,77.061233,65.963440,77.207154,-0.250921,0.145921,0.290266
7,64.290027,76.516313,64.290027,76.516313,0.000000,0.000000,0.000000
8,62.365693,75.971393,62.131515,76.068533,-0.234178,0.097141,0.253526
9,60.441359,75.426472,60.162874,75.544570,-0.278485,0.118098,0.302491
10,58.517025,74.881552,58.199650,75.019676,-0.317375,0.138124,0.346129
11,56.592691,74.336631,56.246529,74.491802,-0.346162,0.155171,0.379350
12,54.668357,73.791711,54.307615,73.958827,-0.360742,0.167117,0.397571
13,52.744023,73.246790,52.385546,73.418944,-0.358477,0.172154,0.397672
14,50.819689,72.701870,51.017627,73.038989,0.197939,0.337120,0.390934
15,69.518109,80.075408,69.169234,80.267685,-0.348875,0.192277,0.398352
16,67.593775,79.530488,67.266264,79.720949,-0.327511,0.190461,0.378865
17,65.669441,78.985568,65.380145,79.162766,-0.289296,0.177199,0.339252
18,63.745107,78.440647,63.505642,78.594934,-0.239464,0.154287,0.284864
19,61.820773,77.895727,62.084962,77.995121,0.264189,0.099394,0.282268
20,59.896439,77.350806,60.158035,77.486946,0.261596,0.136140,0.294901
21,57.972104,76.805886,58.228978,76.990270,0.256873,0.184384,0.316198
22,56.047770,76.260965,56.292834,76.502601,0.245063,0.241635,0.344157
23,54.123436,75.716045,53.785784,75.878198,-0.337652,0.162153,0.374570
24,52.199102,75.171124,51.844758,75.348021,-0.354344,0.176896,0.396045
25,68.973189,81.999743,68.630868,82.198815,-0.342321,0.199073,0.395997
26,67.048854,81.454822,66.714396,81.670314,-0.334459,0.215492,0.397868
27,65.124520,80.909902,64.813454,81.120543,-0.311066,0.210642,0.375675
28,63.200186,80.364981,63.532954,80.470999,0.332768,0.106018,0.349248
29,61.275852,79.820061,61.605773,79.944184,0.329921,0.124124,0.352497
30,59.351518,79.275140,59.671543,79.441688,0.320025,0.166548,0.360769
31,57.427184,78.730220,57.730390,78.947862,0.303206,0.217642,0.373232
32,55.502850,78.185299,55.799159,78.435375,0.296309,0.250076,0.387733
33,53.578516,77.640379,53.862041,77.919938,0.283525,0.279559,0.398171
34,68.428268,83.924077,68.822967,83.972768,0.394699,0.048691,0.397691
35,66.503934,83.379156,66.174926,83.601947,-0.329008,0.222791,0.397343
36,64.579600,82.834236,64.256913,83.063797,-0.322687,0.229562,0.396012
37,62.655266,82.289315,63.029731,82.408618,0.374465,0.119302,0.393010
38,60.730932,81.744395,61.099899,81.883209,0.368968,0.138814,0.394216
39,58.806598,81.199474,59.158531,81.382628,0.351933,0.183154,0.396739
40,91.230704,84.145200,91.628700,84.143452,0.397996,-0.001747,0.397999
41,89.306370,83.600279,89.698838,83.594720,0.392468,-0.005560,0.392507
42,87.382036,83.055359,87.765147,83.045121,0.383111,-0.010238,0.383248
43,85.457702,82.510438,85.827904,82.499465,0.370202,-0.010973,0.370364
44,83.533368,81.965518,83.727371,82.269600,0.194003,0.304082,0.360698
45,81.609034,81.420597,81.813901,81.751766,0.204867,0.331168,0.389413
46,79.684700,80.875677,79.890365,81.218748,0.205665,0.343072,0.399995
47,77.760366,80.330756,77.956171,80.668029,0.195805,0.337273,0.389991
48,75.836032,79.785836,75.483928,79.927097,-0.352104,0.141261,0.379383
49,73.911698,79.240915,73.550884,79.407370,-0.360814,0.166455,0.397359
50,71.987364,78.695995,71.630268,78.871406,-0.357095,0.175411,0.397852
51,70.063029,78.151074,69.727074,78.326138,-0.335956,0.175063,0.378832
52,84.912782,84.434772,85.311489,84.422653,0.398707,-0.012119,0.398891
53,82.988448,83.889852,83.382214,83.878417,0.393766,-0.011435,0.393932
54,81.064114,83.344931,81.279228,83.682104,0.215115,0.337173,0.399950
55,79.139779,82.800011,79.344275,83.130579,0.204495,0.330568,0.388707
56,77.215445,82.255090,77.574682,82.253859,0.359236,-0.001231,0.359239
57,75.291111,81.710170,75.634688,81.717409,0.343577,0.007239,0.343653
58,73.366777,81.165249,73.031131,81.330124,-0.335646,0.164874,0.373954
59,71.442443,80.620329,71.091245,80.803335,-0.351198,0.183006,0.396019
60,69.518109,80.075408,69.518109,80.075408,0.000000,0.000000,0.000000
61,76.670525,84.179424,77.066476,84.182520,0.395951,0.003095,0.395963
62,74.746191,83.634504,75.135798,83.642713,0.389607,0.008209,0.389693
63,72.821857,83.089584,73.202830,83.110206,0.380973,0.020623,0.381531
64,70.897523,82.544663,71.268963,82.572269,0.371441,0.027606,0.372465
65,68.973189,81.999743,68.973189,81.999743,0.000000,0.000000,0.000000
66,68.428268,83.924077,68.428268,83.924077,0.000000,0.000000,0.000000
67,87.926957,81.131025,88.258812,81.123861,0.331855,-0.007164,0.331933
68,86.002623,80.586104,86.313311,80.576895,0.310688,-0.009209,0.310825
69,84.078289,80.041184,84.242703,80.306961,0.164415,0.265778,0.312522
70,62.910614,74.047058,62.619195,74.165782,-0.291418,0.118724,0.314674
71,60.986280,73.502138,60.658084,73.638279,-0.328196,0.136141,0.355312
72,59.061945,72.957217,58.707739,73.107427,-0.354207,0.150210,0.384741
73,96.935257,56.659602,96.917797,57.008369,-0.017460,0.348767,0.349204
74,95.010923,56.114681,94.720389,56.093428,-0.290534,-0.021253,0.291311
75,93.086589,55.569761,92.812613,55.565610,-0.273976,-0.004151,0.274007
76,145.588530,68.358280,145.289450,68.094080,-0.299079,-0.264200,0.399062
77,143.664196,67.813359,143.356115,67.571465,-0.308080,-0.241894,0.391696
78,141.739861,67.268439,141.408373,67.076696,-0.331489,-0.191742,0.382949
79,150.271691,73.841709,150.013780,73.541975,-0.257911,-0.299734,0.395422
80,148.347357,73.296789,148.096190,73.013825,-0.251167,-0.282964,0.378356
81,146.423023,72.751868,146.183924,72.494103,-0.239099,-0.257765,0.351584
82,148.892277,71.372455,148.621322,71.078803,-0.270955,-0.293652,0.399560
83,146.967943,70.827534,146.695720,70.547733,-0.272223,-0.279801,0.390377
84,145.043609,70.282614,144.774470,70.025299,-0.269139,-0.257315,0.372353
85,143.119275,69.737693,142.841900,69.523057,-0.277375,-0.214636,0.350722
86,141.194941,69.192773,140.916165,69.012527,-0.278776,-0.180246,0.331971
87,153.575439,76.855884,153.324958,76.544636,-0.250481,-0.311249,0.399520
88,151.651105,76.310964,151.403522,76.011414,-0.247583,-0.299550,0.388623
89,149.726770,75.766043,149.491790,75.486862,-0.234981,-0.279182,0.364909
90,147.802436,75.221123,147.585900,74.970088,-0.216536,-0.251035,0.331522
91,145.878102,74.676202,145.682834,74.458157,-0.195268,-0.218045,0.292700
92,143.953768,74.131282,143.773942,73.952127,-0.179826,-0.179155,0.253838
93,142.029434,73.586362,142.029434,73.586362,0.000000,0.000000,0.000000
94,140.105100,73.041441,140.105100,73.041441,0.000000,0.000000,0.000000
95,154.954852,79.325139,154.709044,79.013648,-0.245808,-0.311491,0.396798
96,153.030518,78.780218,152.792334,78.484253,-0.238184,-0.295966,0.379904
97,151.106184,78.235298,150.884734,77.963493,-0.221450,-0.271805,0.350597
98,149.181850,77.690378,148.982772,77.449729,-0.199077,-0.240649,0.312320
99,147.257516,77.145457,147.083751,76.939771,-0.173765,-0.205686,0.269260
100,145.333182,76.600537,145.333182,76.600537,0.000000,0.000000,0.000000
101,143.408848,76.055616,143.177618,75.916090,-0.231230,-0.139527,0.270065
102,141.484514,75.510696,141.221140,75.362000,-0.263373,-0.148695,0.302449
103,139.560180,74.965775,139.252059,74.809945,-0.308121,-0.155830,0.345284
104,158.258600,82.339314,158.014217,82.022650,-0.244383,-0.316664,0.399999
105,156.334266,81.794394,156.093713,81.484793,-0.240553,-0.309600,0.392069
106,154.409932,81.249473,154.180898,80.959239,-0.229034,-0.290234,0.369719
107,152.485598,80.704553,152.276461,80.441958,-0.209137,-0.262594,0.335699
108,150.561264,80.159632,150.377049,79.930788,-0.184215,-0.228844,0.293776
109,148.636930,79.614712,148.415595,79.463436,-0.221334,-0.151276,0.268092
110,146.712595,79.069791,146.468387,78.907194,-0.244208,-0.162597,0.293386
111,144.788261,78.524871,144.521216,78.352241,-0.267046,-0.172629,0.317985
112,142.863927,77.979950,142.572164,77.798383,-0.291763,-0.181567,0.343645
113,140.939593,77.435030,140.615064,77.248223,-0.324529,-0.186807,0.374454
114,139.015259,76.890109,138.645899,76.695139,-0.369360,-0.194970,0.417660
115,159.638014,84.808569,159.396109,84.491258,-0.241904,-0.317311,0.399004
116,157.713679,84.263648,157.478978,83.957611,-0.234702,-0.306038,0.385673
117,155.789345,83.718728,155.570375,83.434994,-0.218970,-0.283734,0.358403
118,153.865011,83.173807,153.667507,82.921480,-0.197504,-0.252327,0.320432
119,151.940677,82.628887,151.707613,82.457122,-0.233064,-0.171764,0.289520
120,150.016343,82.083966,149.760216,81.899921,-0.256127,-0.184045,0.315395
121,148.092009,81.539046,147.812638,81.348048,-0.279371,-0.190997,0.338420
122,146.167675,80.994125,145.869378,80.795330,-0.298297,-0.198795,0.358470
123,144.243341,80.449205,143.927512,80.244475,-0.315829,-0.204730,0.376381
124,142.319007,79.904284,141.984831,79.694748,-0.334175,-0.209536,0.394434
125,140.394673,79.359364,140.036605,79.144660,-0.358068,-0.214703,0.417505
126,138.470339,78.814443,138.072721,78.595106,-0.397618,-0.219337,0.454102
127,161.017427,87.277823,160.778896,86.961338,-0.238531,-0.316485,0.396308
128,159.093093,86.732903,158.864815,86.431743,-0.228278,-0.301159,0.377899
129,157.168759,86.187982,156.958846,85.912635,-0.209913,-0.275347,0.346236
